"Country or Area","Year","Item","Value"
"Bahamas","2021","Gross National Income (GNI)","10590100000"
"Bahamas","2020","Gross National Income (GNI)","9210950000"
"Bahamas","2019","Gross National Income (GNI)","12645400000"
"Bahamas","2018","Gross National Income (GNI)","12073500000"
"Bahamas","2017","Gross National Income (GNI)","11996900000"
"Bahamas","2016","Gross National Income (GNI)","11394600000"
"Bahamas","2015","Gross National Income (GNI)","11499000000"
"Bahamas","2014","Gross National Income (GNI)","10798000000"
"Bahamas","2013","Gross National Income (GNI)","10341600000"
"Bahamas","2012","Gross National Income (GNI)","10495800000"
"Bahamas","2011","Gross National Income (GNI)","10082788520"
"Bahamas","2010","Gross National Income (GNI)","10083390530"
"Bahamas","2009","Gross National Income (GNI)","10054613597"
"Bahamas","2008","Gross National Income (GNI)","10718636055"
"Bahamas","2007","Gross National Income (GNI)","10699009711"
"Bahamas","2006","Gross National Income (GNI)","10264589270"
"Bahamas","2005","Gross National Income (GNI)","9918618160"
"Bahamas","2004","Gross National Income (GNI)","9185729003"
"Bahamas","2003","Gross National Income (GNI)","8971945991"
"Bahamas","2002","Gross National Income (GNI)","8933166016"
"Bahamas","2001","Gross National Income (GNI)","8364007756"
"Bahamas","2000","Gross National Income (GNI)","8139093189"
"Bahamas","1999","Gross National Income (GNI)","7765087120"
"Bahamas","1998","Gross National Income (GNI)","6979816702"
"Bahamas","1997","Gross National Income (GNI)","6272129804"
"Bahamas","1996","Gross National Income (GNI)","5788233853"
"Bahamas","1995","Gross National Income (GNI)","5082433998"
"Bahamas","1994","Gross National Income (GNI)","4818861744"
"Bahamas","1993","Gross National Income (GNI)","4579989801"
"Bahamas","1992","Gross National Income (GNI)","4676182934"
"Bahamas","1991","Gross National Income (GNI)","4565108248"
"Bahamas","1990","Gross National Income (GNI)","4639669433"
"Bahamas","1989","Gross National Income (GNI)","4524605876"
"Bahamas","1988","Gross National Income (GNI)","3879826141"
"Bahamas","1987","Gross National Income (GNI)","3432000327"
"Bahamas","1986","Gross National Income (GNI)","3063071072"
"Bahamas","1985","Gross National Income (GNI)","2703564686"
"Bahamas","1984","Gross National Income (GNI)","2314032889.96418"
"Bahamas","1983","Gross National Income (GNI)","2157038320.15704"
"Bahamas","1982","Gross National Income (GNI)","2214374079.21437"
"Bahamas","1981","Gross National Income (GNI)","2163266996.16327"
"Bahamas","1980","Gross National Income (GNI)","1894635390.89464"
"Bahamas","1979","Gross National Income (GNI)","1873553719.87355"
"Bahamas","1978","Gross National Income (GNI)","1571383091.57138"
"Bahamas","1977","Gross National Income (GNI)","1405444781.40544"
"Bahamas","1976","Gross National Income (GNI)","1173067263.17307"
"Bahamas","1975","Gross National Income (GNI)","1073248742.07325"
"Bahamas","1974","Gross National Income (GNI)","866903894.866904"
"Bahamas","1973","Gross National Income (GNI)","831128936.06926"
"Bahamas","1972","Gross National Income (GNI)","732000901"
"Bahamas","1971","Gross National Income (GNI)","710347368.710347"
"Bahamas","1970","Gross National Income (GNI)","667171137.089868"

