"Country or Area","Year","Item","Value"
"Cuba","2021","Gross National Income (GNI)","124789552382"
"Cuba","2020","Gross National Income (GNI)","105738626940"
"Cuba","2019","Gross National Income (GNI)","101873600000"
"Cuba","2018","Gross National Income (GNI)","98575036096"
"Cuba","2017","Gross National Income (GNI)","95497000000"
"Cuba","2016","Gross National Income (GNI)","90086000000"
"Cuba","2015","Gross National Income (GNI)","86085738115.0959"
"Cuba","2014","Gross National Income (GNI)","79602000000"
"Cuba","2013","Gross National Income (GNI)","76226000000"
"Cuba","2012","Gross National Income (GNI)","72146000000"
"Cuba","2011","Gross National Income (GNI)","68439294710.3275"
"Cuba","2010","Gross National Income (GNI)","62896000000"
"Cuba","2009","Gross National Income (GNI)","60437000000"
"Cuba","2008","Gross National Income (GNI)","59751000000"
"Cuba","2007","Gross National Income (GNI)","57644100000"
"Cuba","2006","Gross National Income (GNI)","52124800000"
"Cuba","2005","Gross National Income (GNI)","42011100000"
"Cuba","2004","Gross National Income (GNI)","37553800000"
"Cuba","2003","Gross National Income (GNI)","35340900000"
"Cuba","2002","Gross National Income (GNI)","33083072671"
"Cuba","2001","Gross National Income (GNI)","31179700000"
"Cuba","2000","Gross National Income (GNI)","29943300000"
"Cuba","1999","Gross National Income (GNI)","27850400000"
"Cuba","1998","Gross National Income (GNI)","25288000000"
"Cuba","1997","Gross National Income (GNI)","24882700000"
"Cuba","1996","Gross National Income (GNI)","24524500000"
"Cuba","1995","Gross National Income (GNI)","29751321804.2553"
"Cuba","1994","Gross National Income (GNI)","27998129898.6486"
"Cuba","1993","Gross National Income (GNI)","22022285543.2432"
"Cuba","1992","Gross National Income (GNI)","21760981541.8919"
"Cuba","1991","Gross National Income (GNI)","23863930995.2775"
"Cuba","1990","Gross National Income (GNI)","28034938952.1277"
"Cuba","1989","Gross National Income (GNI)","26601692688.2409"
"Cuba","1988","Gross National Income (GNI)","26992651655.6728"
"Cuba","1987","Gross National Income (GNI)","24714398391.2197"
"Cuba","1986","Gross National Income (GNI)","23746636162.2731"
"Cuba","1985","Gross National Income (GNI)","22467645706.7674"
"Cuba","1984","Gross National Income (GNI)","23596807030.1651"
"Cuba","1983","Gross National Income (GNI)","21784730988.2767"
"Cuba","1982","Gross National Income (GNI)","20547988498.8235"
"Cuba","1981","Gross National Income (GNI)","19762075721.6867"
"Cuba","1980","Gross National Income (GNI)","19531412558.3333"
"Cuba","1979","Gross National Income (GNI)","19211775587.6712"
"Cuba","1978","Gross National Income (GNI)","17502936144.1558"
"Cuba","1977","Gross National Income (GNI)","13933525219.2771"
"Cuba","1976","Gross National Income (GNI)","13525388414.1291"
"Cuba","1975","Gross National Income (GNI)","12778100579.2683"
"Cuba","1974","Gross National Income (GNI)","11187718385.3659"
"Cuba","1973","Gross National Income (GNI)","9796397366.70688"
"Cuba","1972","Gross National Income (GNI)","7979320074.50157"
"Cuba","1971","Gross National Income (GNI)","6782256151"
"Cuba","1970","Gross National Income (GNI)","5584007494"

