"Country or Area","Year(s)","Variant","Value"
"Cuba","2101","Medium",""
"Cuba","2100","Medium","1.6327"
"Cuba","2099","Medium","1.6465"
"Cuba","2098","Medium","1.6597"
"Cuba","2097","Medium","1.6709"
"Cuba","2096","Medium","1.6839"
"Cuba","2095","Medium","1.6961"
"Cuba","2094","Medium","1.7163"
"Cuba","2093","Medium","1.7288"
"Cuba","2092","Medium","1.7414"
"Cuba","2091","Medium","1.7539"
"Cuba","2090","Medium","1.769"
"Cuba","2089","Medium","1.7844"
"Cuba","2088","Medium","1.7969"
"Cuba","2087","Medium","1.8087"
"Cuba","2086","Medium","1.8244"
"Cuba","2085","Medium","1.8382"
"Cuba","2084","Medium","1.8501"
"Cuba","2083","Medium","1.8639"
"Cuba","2082","Medium","1.8755"
"Cuba","2081","Medium","1.8903"
"Cuba","2080","Medium","1.905"
"Cuba","2079","Medium","1.9171"
"Cuba","2078","Medium","1.9295"
"Cuba","2077","Medium","1.9442"
"Cuba","2076","Medium","1.9567"
"Cuba","2075","Medium","1.9723"
"Cuba","2074","Medium","1.9868"
"Cuba","2073","Medium","2.0067"
"Cuba","2072","Medium","2.0219"
"Cuba","2071","Medium","2.0391"
"Cuba","2070","Medium","2.0597"
"Cuba","2069","Medium","2.0744"
"Cuba","2068","Medium","2.0907"
"Cuba","2067","Medium","2.1076"
"Cuba","2066","Medium","2.1262"
"Cuba","2065","Medium","2.1449"
"Cuba","2064","Medium","2.1619"
"Cuba","2063","Medium","2.1806"
"Cuba","2062","Medium","2.2022"
"Cuba","2061","Medium","2.2205"
"Cuba","2060","Medium","2.2431"
"Cuba","2059","Medium","2.2631"
"Cuba","2058","Medium","2.2812"
"Cuba","2057","Medium","2.3053"
"Cuba","2056","Medium","2.3264"
"Cuba","2055","Medium","2.351"
"Cuba","2054","Medium","2.3756"
"Cuba","2053","Medium","2.4026"
"Cuba","2052","Medium","2.4308"
"Cuba","2051","Medium","2.4606"
"Cuba","2050","Medium","2.4916"
"Cuba","2049","Medium","2.5243"
"Cuba","2048","Medium","2.5584"
"Cuba","2047","Medium","2.5933"
"Cuba","2046","Medium","2.6268"
"Cuba","2045","Medium","2.6641"
"Cuba","2044","Medium","2.6999"
"Cuba","2043","Medium","2.7461"
"Cuba","2042","Medium","2.7946"
"Cuba","2041","Medium","2.8412"
"Cuba","2040","Medium","2.8899"
"Cuba","2039","Medium","2.9399"
"Cuba","2038","Medium","2.9942"
"Cuba","2037","Medium","3.0429"
"Cuba","2036","Medium","3.0933"
"Cuba","2035","Medium","3.1499"
"Cuba","2034","Medium","3.2048"
"Cuba","2033","Medium","3.2648"
"Cuba","2032","Medium","3.3242"
"Cuba","2031","Medium","3.3851"
"Cuba","2030","Medium","3.4476"
"Cuba","2029","Medium","3.5103"
"Cuba","2028","Medium","3.5788"
"Cuba","2027","Medium","3.6465"
"Cuba","2026","Medium","3.72"
"Cuba","2025","Medium","3.7912"
"Cuba","2024","Medium","3.868"
"Cuba","2023","Medium","3.9398"
"Cuba","2022","Medium","4.017"
"Cuba","2021","Medium","3.9978"
"Cuba","2020","Medium","4.0975"
"Cuba","2019","Medium","4.1927"
"Cuba","2018","Medium","4.2825"
"Cuba","2017","Medium","4.3758"
"Cuba","2016","Medium","4.4703"
"Cuba","2015","Medium","4.567"
"Cuba","2014","Medium","4.6705"
"Cuba","2013","Medium","4.7821"
"Cuba","2012","Medium","4.8993"
"Cuba","2011","Medium","5.0242"
"Cuba","2010","Medium","5.1628"
"Cuba","2009","Medium","5.3104"
"Cuba","2008","Medium","5.468"
"Cuba","2007","Medium","5.6356"
"Cuba","2006","Medium","5.8182"
"Cuba","2005","Medium","6.0136"
"Cuba","2004","Medium","6.2236"
"Cuba","2003","Medium","6.4434"
"Cuba","2002","Medium","6.6853"
"Cuba","2001","Medium","6.9393"
"Cuba","2000","Medium","7.2043"
"Cuba","1999","Medium","7.4932"
"Cuba","1998","Medium","7.8011"
"Cuba","1997","Medium","8.1285"
"Cuba","1996","Medium","8.4794"
"Cuba","1995","Medium","8.8461"
"Cuba","1994","Medium","9.234"
"Cuba","1993","Medium","9.6472"
"Cuba","1992","Medium","10.0872"
"Cuba","1991","Medium","10.551"
"Cuba","1990","Medium","11.0436"
"Cuba","1989","Medium","11.5636"
"Cuba","1988","Medium","12.1102"
"Cuba","1987","Medium","12.6903"
"Cuba","1986","Medium","13.2917"
"Cuba","1985","Medium","13.9269"
"Cuba","1984","Medium","14.591"
"Cuba","1983","Medium","15.2963"
"Cuba","1982","Medium","16.0622"
"Cuba","1981","Medium","16.8358"
"Cuba","1980","Medium","17.6458"
"Cuba","1979","Medium","19.6133"
"Cuba","1978","Medium","20.9727"
"Cuba","1977","Medium","22.6597"
"Cuba","1976","Medium","24.6313"
"Cuba","1975","Medium","26.8366"
"Cuba","1974","Medium","29.1706"
"Cuba","1973","Medium","31.5237"
"Cuba","1972","Medium","33.8111"
"Cuba","1971","Medium","36.0032"
"Cuba","1970","Medium","38.1103"
"Cuba","1969","Medium","40.1381"
"Cuba","1968","Medium","42.1698"
"Cuba","1967","Medium","44.2401"
"Cuba","1966","Medium","46.3585"
"Cuba","1965","Medium","48.518"
"Cuba","1964","Medium","50.7155"
"Cuba","1963","Medium","53.7431"
"Cuba","1962","Medium","55.1392"
"Cuba","1961","Medium","57.3412"
"Cuba","1960","Medium","59.5318"
"Cuba","1959","Medium","61.7452"
"Cuba","1958","Medium","63.8778"
"Cuba","1957","Medium","66.0374"
"Cuba","1956","Medium","68.1913"
"Cuba","1955","Medium","70.3422"
"Cuba","1954","Medium","72.4955"
"Cuba","1953","Medium","74.6864"
"Cuba","1952","Medium","76.8806"
"Cuba","1951","Medium","79.065"
"Cuba","1950","Medium","80.1394"

