"Country or Area","Year(s)","Variant","Value"
"Cuba","2100","Medium","6478.341"
"Cuba","2100","High","9661.949"
"Cuba","2100","Low","4091.705"
"Cuba","2100","Constant fertility","5567.488"
"Cuba","2100","Instant replacement","10318.241"
"Cuba","2100","Zero migration","7111.801"
"Cuba","2100","Constant mortality","5471.555"
"Cuba","2100","No change","4589.912"
"Cuba","2100","Momentum","9840.347"
"Cuba","2100","Instant replacement zero migration","11083.04"
"Cuba","2100","Median PI","6478.34"
"Cuba","2100","Upper 80 PI","7807.414"
"Cuba","2100","Lower 80 PI","5207.533"
"Cuba","2100","Upper 95 PI","8517.859"
"Cuba","2100","Lower 95 PI","4434.227"
"Cuba","2099","Medium","6537.839"
"Cuba","2099","High","9661.997"
"Cuba","2099","Low","4181.708"
"Cuba","2099","Constant fertility","5643.025"
"Cuba","2099","Instant replacement","10314.793"
"Cuba","2099","Zero migration","7163.691"
"Cuba","2099","Constant mortality","5532.994"
"Cuba","2099","No change","4665.45"
"Cuba","2099","Momentum","9841.183"
"Cuba","2099","Instant replacement zero migration","11068.235"
"Cuba","2099","Median PI","6537.839"
"Cuba","2099","Upper 80 PI","7848.244"
"Cuba","2099","Lower 80 PI","5281.287"
"Cuba","2099","Upper 95 PI","8537.455"
"Cuba","2099","Lower 95 PI","4517.278"
"Cuba","2098","Medium","6598.211"
"Cuba","2098","High","9662.976"
"Cuba","2098","Low","4272.859"
"Cuba","2098","Constant fertility","5719.242"
"Cuba","2098","Instant replacement","10311.549"
"Cuba","2098","Zero migration","7216.444"
"Cuba","2098","Constant mortality","5595.439"
"Cuba","2098","No change","4741.928"
"Cuba","2098","Momentum","9841.737"
"Cuba","2098","Instant replacement zero migration","11053.665"
"Cuba","2098","Median PI","6598.211"
"Cuba","2098","Upper 80 PI","7890.367"
"Cuba","2098","Lower 80 PI","5356.224"
"Cuba","2098","Upper 95 PI","8557.6"
"Cuba","2098","Lower 95 PI","4600.852"
"Cuba","2097","Medium","6659.418"
"Cuba","2097","High","9664.869"
"Cuba","2097","Low","4365.074"
"Cuba","2097","Constant fertility","5796.089"
"Cuba","2097","Instant replacement","10308.519"
"Cuba","2097","Zero migration","7270.014"
"Cuba","2097","Constant mortality","5658.901"
"Cuba","2097","No change","4819.349"
"Cuba","2097","Momentum","9842.097"
"Cuba","2097","Instant replacement zero migration","11039.346"
"Cuba","2097","Median PI","6659.418"
"Cuba","2097","Upper 80 PI","7932.619"
"Cuba","2097","Lower 80 PI","5429.741"
"Cuba","2097","Upper 95 PI","8586.263"
"Cuba","2097","Lower 95 PI","4687.659"
"Cuba","2096","Medium","6721.306"
"Cuba","2096","High","9667.397"
"Cuba","2096","Low","4458.293"
"Cuba","2096","Constant fertility","5873.639"
"Cuba","2096","Instant replacement","10305.828"
"Cuba","2096","Zero migration","7324.212"
"Cuba","2096","Constant mortality","5723.165"
"Cuba","2096","No change","4897.716"
"Cuba","2096","Momentum","9842.333"
"Cuba","2096","Instant replacement zero migration","11025.415"
"Cuba","2096","Median PI","6721.307"
"Cuba","2096","Upper 80 PI","7977.457"
"Cuba","2096","Lower 80 PI","5507.19"
"Cuba","2096","Upper 95 PI","8623.362"
"Cuba","2096","Lower 95 PI","4774.602"
"Cuba","2095","Medium","6783.94"
"Cuba","2095","High","9670.7"
"Cuba","2095","Low","4552.525"
"Cuba","2095","Constant fertility","5951.925"
"Cuba","2095","Instant replacement","10303.598"
"Cuba","2095","Zero migration","7379.11"
"Cuba","2095","Constant mortality","5788.288"
"Cuba","2095","No change","4977.032"
"Cuba","2095","Momentum","9842.551"
"Cuba","2095","Instant replacement zero migration","11011.978"
"Cuba","2095","Median PI","6783.94"
"Cuba","2095","Upper 80 PI","8020.562"
"Cuba","2095","Lower 80 PI","5588.731"
"Cuba","2095","Upper 95 PI","8652.802"
"Cuba","2095","Lower 95 PI","4864.441"
"Cuba","2094","Medium","6847.417"
"Cuba","2094","High","9675.031"
"Cuba","2094","Low","4647.739"
"Cuba","2094","Constant fertility","6030.903"
"Cuba","2094","Instant replacement","10301.884"
"Cuba","2094","Zero migration","7434.823"
"Cuba","2094","Constant mortality","5854.408"
"Cuba","2094","No change","5057.292"
"Cuba","2094","Momentum","9842.885"
"Cuba","2094","Instant replacement zero migration","10999.087"
"Cuba","2094","Median PI","6847.417"
"Cuba","2094","Upper 80 PI","8055.357"
"Cuba","2094","Lower 80 PI","5668.151"
"Cuba","2094","Upper 95 PI","8679.55"
"Cuba","2094","Lower 95 PI","4952.681"
"Cuba","2093","Medium","6911.623"
"Cuba","2093","High","9680.278"
"Cuba","2093","Low","4743.837"
"Cuba","2093","Constant fertility","6110.557"
"Cuba","2093","Instant replacement","10300.77"
"Cuba","2093","Zero migration","7491.218"
"Cuba","2093","Constant mortality","5921.438"
"Cuba","2093","No change","5138.511"
"Cuba","2093","Momentum","9843.469"
"Cuba","2093","Instant replacement zero migration","10986.829"
"Cuba","2093","Median PI","6911.623"
"Cuba","2093","Upper 80 PI","8102.157"
"Cuba","2093","Lower 80 PI","5751.882"
"Cuba","2093","Upper 95 PI","8719.833"
"Cuba","2093","Lower 95 PI","5046.089"
"Cuba","2092","Medium","6976.538"
"Cuba","2092","High","9686.486"
"Cuba","2092","Low","4840.777"
"Cuba","2092","Constant fertility","6190.873"
"Cuba","2092","Instant replacement","10300.354"
"Cuba","2092","Zero migration","7548.264"
"Cuba","2092","Constant mortality","5989.398"
"Cuba","2092","No change","5220.699"
"Cuba","2092","Momentum","9844.458"
"Cuba","2092","Instant replacement zero migration","10975.293"
"Cuba","2092","Median PI","6976.538"
"Cuba","2092","Upper 80 PI","8154.095"
"Cuba","2092","Lower 80 PI","5838.168"
"Cuba","2092","Upper 95 PI","8758.745"
"Cuba","2092","Lower 95 PI","5142.581"
"Cuba","2091","Medium","7042.179"
"Cuba","2091","High","9693.751"
"Cuba","2091","Low","4938.535"
"Cuba","2091","Constant fertility","6271.87"
"Cuba","2091","Instant replacement","10300.783"
"Cuba","2091","Zero migration","7605.99"
"Cuba","2091","Constant mortality","6058.308"
"Cuba","2091","No change","5303.87"
"Cuba","2091","Momentum","9846.02"
"Cuba","2091","Instant replacement zero migration","10964.626"
"Cuba","2091","Median PI","7042.179"
"Cuba","2091","Upper 80 PI","8196.984"
"Cuba","2091","Lower 80 PI","5919.163"
"Cuba","2091","Upper 95 PI","8788.623"
"Cuba","2091","Lower 95 PI","5233.606"
"Cuba","2090","Medium","7108.52"
"Cuba","2090","High","9702.097"
"Cuba","2090","Low","5037.076"
"Cuba","2090","Constant fertility","6353.572"
"Cuba","2090","Instant replacement","10302.216"
"Cuba","2090","Zero migration","7664.368"
"Cuba","2090","Constant mortality","6128.151"
"Cuba","2090","No change","5388.065"
"Cuba","2090","Momentum","9848.338"
"Cuba","2090","Instant replacement zero migration","10954.981"
"Cuba","2090","Median PI","7108.52"
"Cuba","2090","Upper 80 PI","8244.8"
"Cuba","2090","Lower 80 PI","5998.55"
"Cuba","2090","Upper 95 PI","8825.643"
"Cuba","2090","Lower 95 PI","5332.119"
"Cuba","2089","Medium","7175.474"
"Cuba","2089","High","9711.465"
"Cuba","2089","Low","5136.345"
"Cuba","2089","Constant fertility","6435.979"
"Cuba","2089","Instant replacement","10304.77"
"Cuba","2089","Zero migration","7723.284"
"Cuba","2089","Constant mortality","6198.877"
"Cuba","2089","No change","5473.298"
"Cuba","2089","Momentum","9851.587"
"Cuba","2089","Instant replacement zero migration","10946.476"
"Cuba","2089","Median PI","7175.474"
"Cuba","2089","Upper 80 PI","8291.188"
"Cuba","2089","Lower 80 PI","6082.89"
"Cuba","2089","Upper 95 PI","8862.493"
"Cuba","2089","Lower 95 PI","5437.048"
"Cuba","2088","Medium","7243.05"
"Cuba","2088","High","9721.963"
"Cuba","2088","Low","5236.313"
"Cuba","2088","Constant fertility","6519.071"
"Cuba","2088","Instant replacement","10308.55"
"Cuba","2088","Zero migration","7782.767"
"Cuba","2088","Constant mortality","6270.525"
"Cuba","2088","No change","5559.578"
"Cuba","2088","Momentum","9855.915"
"Cuba","2088","Instant replacement zero migration","10939.217"
"Cuba","2088","Median PI","7243.049"
"Cuba","2088","Upper 80 PI","8334.766"
"Cuba","2088","Lower 80 PI","6168.147"
"Cuba","2088","Upper 95 PI","8891.429"
"Cuba","2088","Lower 95 PI","5536.148"
"Cuba","2087","Medium","7311.184"
"Cuba","2087","High","9733.596"
"Cuba","2087","Low","5336.888"
"Cuba","2087","Constant fertility","6602.773"
"Cuba","2087","Instant replacement","10313.596"
"Cuba","2087","Zero migration","7842.747"
"Cuba","2087","Constant mortality","6343.104"
"Cuba","2087","No change","5646.912"
"Cuba","2087","Momentum","9861.461"
"Cuba","2087","Instant replacement zero migration","10933.232"
"Cuba","2087","Median PI","7311.183"
"Cuba","2087","Upper 80 PI","8380.461"
"Cuba","2087","Lower 80 PI","6250.475"
"Cuba","2087","Upper 95 PI","8929.466"
"Cuba","2087","Lower 95 PI","5639.202"
"Cuba","2086","Medium","7379.801"
"Cuba","2086","High","9746.371"
"Cuba","2086","Low","5437.994"
"Cuba","2086","Constant fertility","6687.007"
"Cuba","2086","Instant replacement","10319.917"
"Cuba","2086","Zero migration","7903.145"
"Cuba","2086","Constant mortality","6416.621"
"Cuba","2086","No change","5735.288"
"Cuba","2086","Momentum","9868.328"
"Cuba","2086","Instant replacement zero migration","10928.527"
"Cuba","2086","Median PI","7379.8"
"Cuba","2086","Upper 80 PI","8423.631"
"Cuba","2086","Lower 80 PI","6325.714"
"Cuba","2086","Upper 95 PI","8972.654"
"Cuba","2086","Lower 95 PI","5741.613"
"Cuba","2085","Medium","7448.756"
"Cuba","2085","High","9760.207"
"Cuba","2085","Low","5539.492"
"Cuba","2085","Constant fertility","6771.641"
"Cuba","2085","Instant replacement","10327.467"
"Cuba","2085","Zero migration","7963.83"
"Cuba","2085","Constant mortality","6491.057"
"Cuba","2085","No change","5824.676"
"Cuba","2085","Momentum","9876.577"
"Cuba","2085","Instant replacement zero migration","10925.041"
"Cuba","2085","Median PI","7448.756"
"Cuba","2085","Upper 80 PI","8470.579"
"Cuba","2085","Lower 80 PI","6400.756"
"Cuba","2085","Upper 95 PI","9018.374"
"Cuba","2085","Lower 95 PI","5831.311"
"Cuba","2084","Medium","7517.922"
"Cuba","2084","High","9775.019"
"Cuba","2084","Low","5641.247"
"Cuba","2084","Constant fertility","6856.516"
"Cuba","2084","Instant replacement","10336.139"
"Cuba","2084","Zero migration","8024.677"
"Cuba","2084","Constant mortality","6566.391"
"Cuba","2084","No change","5915.052"
"Cuba","2084","Momentum","9886.254"
"Cuba","2084","Instant replacement zero migration","10922.682"
"Cuba","2084","Median PI","7517.922"
"Cuba","2084","Upper 80 PI","8523.409"
"Cuba","2084","Lower 80 PI","6483.024"
"Cuba","2084","Upper 95 PI","9069.946"
"Cuba","2084","Lower 95 PI","5925.046"
"Cuba","2083","Medium","7587.19"
"Cuba","2083","High","9790.725"
"Cuba","2083","Low","5743.172"
"Cuba","2083","Constant fertility","6941.52"
"Cuba","2083","Instant replacement","10345.859"
"Cuba","2083","Zero migration","8085.581"
"Cuba","2083","Constant mortality","6642.573"
"Cuba","2083","No change","6006.344"
"Cuba","2083","Momentum","9897.359"
"Cuba","2083","Instant replacement zero migration","10921.377"
"Cuba","2083","Median PI","7587.19"
"Cuba","2083","Upper 80 PI","8580.142"
"Cuba","2083","Lower 80 PI","6566.644"
"Cuba","2083","Upper 95 PI","9111.489"
"Cuba","2083","Lower 95 PI","6017.366"
"Cuba","2082","Medium","7656.41"
"Cuba","2082","High","9807.173"
"Cuba","2082","Low","5845.141"
"Cuba","2082","Constant fertility","7026.529"
"Cuba","2082","Instant replacement","10356.513"
"Cuba","2082","Zero migration","8146.378"
"Cuba","2082","Constant mortality","6719.513"
"Cuba","2082","No change","6098.484"
"Cuba","2082","Momentum","9909.853"
"Cuba","2082","Instant replacement zero migration","10920.992"
"Cuba","2082","Median PI","7656.41"
"Cuba","2082","Upper 80 PI","8635.818"
"Cuba","2082","Lower 80 PI","6653.127"
"Cuba","2082","Upper 95 PI","9144.49"
"Cuba","2082","Lower 95 PI","6108.217"
"Cuba","2081","Medium","7725.377"
"Cuba","2081","High","9824.082"
"Cuba","2081","Low","5947.004"
"Cuba","2081","Constant fertility","7111.449"
"Cuba","2081","Instant replacement","10367.996"
"Cuba","2081","Zero migration","8206.845"
"Cuba","2081","Constant mortality","6797.007"
"Cuba","2081","No change","6191.385"
"Cuba","2081","Momentum","9923.654"
"Cuba","2081","Instant replacement zero migration","10921.424"
"Cuba","2081","Median PI","7725.378"
"Cuba","2081","Upper 80 PI","8686.181"
"Cuba","2081","Lower 80 PI","6741.485"
"Cuba","2081","Upper 95 PI","9174.741"
"Cuba","2081","Lower 95 PI","6201.449"
"Cuba","2080","Medium","7793.94"
"Cuba","2080","High","9841.272"
"Cuba","2080","Low","6048.671"
"Cuba","2080","Constant fertility","7196.185"
"Cuba","2080","Instant replacement","10380.189"
"Cuba","2080","Zero migration","8266.844"
"Cuba","2080","Constant mortality","6874.905"
"Cuba","2080","No change","6284.939"
"Cuba","2080","Momentum","9938.644"
"Cuba","2080","Instant replacement zero migration","10922.552"
"Cuba","2080","Median PI","7793.941"
"Cuba","2080","Upper 80 PI","8733.482"
"Cuba","2080","Lower 80 PI","6828.327"
"Cuba","2080","Upper 95 PI","9204.472"
"Cuba","2080","Lower 95 PI","6298.298"
"Cuba","2079","Medium","7862.267"
"Cuba","2079","High","9858.984"
"Cuba","2079","Low","6150.255"
"Cuba","2079","Constant fertility","7280.678"
"Cuba","2079","Instant replacement","10392.982"
"Cuba","2079","Zero migration","8326.563"
"Cuba","2079","Constant mortality","6953.338"
"Cuba","2079","No change","6379.046"
"Cuba","2079","Momentum","9954.717"
"Cuba","2079","Instant replacement zero migration","10924.271"
"Cuba","2079","Median PI","7862.268"
"Cuba","2079","Upper 80 PI","8778.91"
"Cuba","2079","Lower 80 PI","6913.802"
"Cuba","2079","Upper 95 PI","9243.758"
"Cuba","2079","Lower 95 PI","6401.578"
"Cuba","2078","Medium","7930.273"
"Cuba","2078","High","9877.051"
"Cuba","2078","Low","6251.69"
"Cuba","2078","Constant fertility","7364.85"
"Cuba","2078","Instant replacement","10406.241"
"Cuba","2078","Zero migration","8385.906"
"Cuba","2078","Constant mortality","7032.208"
"Cuba","2078","No change","6473.618"
"Cuba","2078","Momentum","9971.73"
"Cuba","2078","Instant replacement zero migration","10926.438"
"Cuba","2078","Median PI","7930.272"
"Cuba","2078","Upper 80 PI","8827.647"
"Cuba","2078","Lower 80 PI","6996.215"
"Cuba","2078","Upper 95 PI","9282.581"
"Cuba","2078","Lower 95 PI","6504.007"
"Cuba","2077","Medium","7997.875"
"Cuba","2077","High","9895.284"
"Cuba","2077","Low","6352.962"
"Cuba","2077","Constant fertility","7448.73"
"Cuba","2077","Instant replacement","10419.918"
"Cuba","2077","Zero migration","8444.79"
"Cuba","2077","Constant mortality","7111.32"
"Cuba","2077","No change","6568.574"
"Cuba","2077","Momentum","9989.552"
"Cuba","2077","Instant replacement zero migration","10929.005"
"Cuba","2077","Median PI","7997.875"
"Cuba","2077","Upper 80 PI","8877.725"
"Cuba","2077","Lower 80 PI","7076.298"
"Cuba","2077","Upper 95 PI","9312.466"
"Cuba","2077","Lower 95 PI","6598.556"
"Cuba","2076","Medium","8065.244"
"Cuba","2076","High","9913.828"
"Cuba","2076","Low","6454.238"
"Cuba","2076","Constant fertility","7532.394"
"Cuba","2076","Instant replacement","10433.993"
"Cuba","2076","Zero migration","8503.388"
"Cuba","2076","Constant mortality","7190.724"
"Cuba","2076","No change","6663.856"
"Cuba","2076","Momentum","10008.072"
"Cuba","2076","Instant replacement zero migration","10931.965"
"Cuba","2076","Median PI","8065.244"
"Cuba","2076","Upper 80 PI","8924.529"
"Cuba","2076","Lower 80 PI","7156.354"
"Cuba","2076","Upper 95 PI","9341.404"
"Cuba","2076","Lower 95 PI","6680.904"
"Cuba","2075","Medium","8132.623"
"Cuba","2075","High","9932.909"
"Cuba","2075","Low","6555.717"
"Cuba","2075","Constant fertility","7615.904"
"Cuba","2075","Instant replacement","10448.448"
"Cuba","2075","Zero migration","8561.957"
"Cuba","2075","Constant mortality","7270.578"
"Cuba","2075","No change","6759.444"
"Cuba","2075","Momentum","10027.191"
"Cuba","2075","Instant replacement zero migration","10935.298"
"Cuba","2075","Median PI","8132.624"
"Cuba","2075","Upper 80 PI","8972.493"
"Cuba","2075","Lower 80 PI","7238.358"
"Cuba","2075","Upper 95 PI","9381.282"
"Cuba","2075","Lower 95 PI","6767.24"
"Cuba","2074","Medium","8200.172"
"Cuba","2074","High","9952.575"
"Cuba","2074","Low","6657.583"
"Cuba","2074","Constant fertility","7699.449"
"Cuba","2074","Instant replacement","10463.399"
"Cuba","2074","Zero migration","8620.665"
"Cuba","2074","Constant mortality","7350.841"
"Cuba","2074","No change","6855.338"
"Cuba","2074","Momentum","10046.844"
"Cuba","2074","Instant replacement zero migration","10939.132"
"Cuba","2074","Median PI","8200.172"
"Cuba","2074","Upper 80 PI","9026.336"
"Cuba","2074","Lower 80 PI","7320.544"
"Cuba","2074","Upper 95 PI","9430.905"
"Cuba","2074","Lower 95 PI","6865.181"
"Cuba","2073","Medium","8267.966"
"Cuba","2073","High","9972.792"
"Cuba","2073","Low","6759.956"
"Cuba","2073","Constant fertility","7783.193"
"Cuba","2073","Instant replacement","10478.908"
"Cuba","2073","Zero migration","8679.573"
"Cuba","2073","Constant mortality","7431.466"
"Cuba","2073","No change","6951.569"
"Cuba","2073","Momentum","10067.007"
"Cuba","2073","Instant replacement zero migration","10943.533"
"Cuba","2073","Median PI","8267.966"
"Cuba","2073","Upper 80 PI","9082.973"
"Cuba","2073","Lower 80 PI","7400.922"
"Cuba","2073","Upper 95 PI","9475.926"
"Cuba","2073","Lower 95 PI","6966.447"
"Cuba","2072","Medium","8336.377"
"Cuba","2072","High","9993.945"
"Cuba","2072","Low","6863.136"
"Cuba","2072","Constant fertility","7867.296"
"Cuba","2072","Instant replacement","10495.046"
"Cuba","2072","Zero migration","8739.072"
"Cuba","2072","Constant mortality","7512.748"
"Cuba","2072","No change","7048.217"
"Cuba","2072","Momentum","10087.685"
