"Country or Area","Year(s)","Variant","Value"
"Cuba","2101","Medium",""
"Cuba","2100","Medium","1.9287"
"Cuba","2099","Medium","1.9458"
"Cuba","2098","Medium","1.9622"
"Cuba","2097","Medium","1.9763"
"Cuba","2096","Medium","1.9926"
"Cuba","2095","Medium","2.0079"
"Cuba","2094","Medium","2.0328"
"Cuba","2093","Medium","2.0486"
"Cuba","2092","Medium","2.0646"
"Cuba","2091","Medium","2.0804"
"Cuba","2090","Medium","2.0992"
"Cuba","2089","Medium","2.1187"
"Cuba","2088","Medium","2.1348"
"Cuba","2087","Medium","2.1499"
"Cuba","2086","Medium","2.1696"
"Cuba","2085","Medium","2.1873"
"Cuba","2084","Medium","2.2027"
"Cuba","2083","Medium","2.2203"
"Cuba","2082","Medium","2.2355"
"Cuba","2081","Medium","2.2546"
"Cuba","2080","Medium","2.2734"
"Cuba","2079","Medium","2.2894"
"Cuba","2078","Medium","2.3055"
"Cuba","2077","Medium","2.3245"
"Cuba","2076","Medium","2.341"
"Cuba","2075","Medium","2.361"
"Cuba","2074","Medium","2.3799"
"Cuba","2073","Medium","2.4052"
"Cuba","2072","Medium","2.425"
"Cuba","2071","Medium","2.447"
"Cuba","2070","Medium","2.4732"
"Cuba","2069","Medium","2.4926"
"Cuba","2068","Medium","2.5138"
"Cuba","2067","Medium","2.5359"
"Cuba","2066","Medium","2.56"
"Cuba","2065","Medium","2.5844"
"Cuba","2064","Medium","2.6067"
"Cuba","2063","Medium","2.6312"
"Cuba","2062","Medium","2.6592"
"Cuba","2061","Medium","2.6832"
"Cuba","2060","Medium","2.7127"
"Cuba","2059","Medium","2.7389"
"Cuba","2058","Medium","2.7628"
"Cuba","2057","Medium","2.7941"
"Cuba","2056","Medium","2.8217"
"Cuba","2055","Medium","2.8536"
"Cuba","2054","Medium","2.8858"
"Cuba","2053","Medium","2.921"
"Cuba","2052","Medium","2.9573"
"Cuba","2051","Medium","2.9961"
"Cuba","2050","Medium","3.0361"
"Cuba","2049","Medium","3.0786"
"Cuba","2048","Medium","3.1227"
"Cuba","2047","Medium","3.168"
"Cuba","2046","Medium","3.2115"
"Cuba","2045","Medium","3.2597"
"Cuba","2044","Medium","3.3066"
"Cuba","2043","Medium","3.3655"
"Cuba","2042","Medium","3.4274"
"Cuba","2041","Medium","3.4871"
"Cuba","2040","Medium","3.5496"
"Cuba","2039","Medium","3.6137"
"Cuba","2038","Medium","3.6833"
"Cuba","2037","Medium","3.7461"
"Cuba","2036","Medium","3.8111"
"Cuba","2035","Medium","3.8839"
"Cuba","2034","Medium","3.9547"
"Cuba","2033","Medium","4.0318"
"Cuba","2032","Medium","4.1082"
