"Country or Area","Year","Item","Value"
"Dominica","2021","Final consumption expenditure","1462130277"
"Dominica","2021","Household consumption expenditure (including Non-profit institutions serving households)","1125502097"
"Dominica","2021","General government final consumption expenditure","336628180"
"Dominica","2021","Gross capital formation","420769917"
"Dominica","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","420769917"
"Dominica","2021","Exports of goods and services","308264968"
"Dominica","2021","Imports of goods and services","746877995"
"Dominica","2021","Gross Domestic Product (GDP)","1480182107"
"Dominica","2020","Final consumption expenditure","1503714739"
"Dominica","2020","Household consumption expenditure (including Non-profit institutions serving households)","1156790970"
"Dominica","2020","General government final consumption expenditure","346923769"
"Dominica","2020","Gross capital formation","329845975"
"Dominica","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","329845975"
"Dominica","2020","Exports of goods and services","307837163"
"Dominica","2020","Imports of goods and services","787058095"
"Dominica","2020","Gross Domestic Product (GDP)","1367860000"
"Dominica","2019","Final consumption expenditure","1864789331"
"Dominica","2019","Household consumption expenditure (including Non-profit institutions serving households)","1450703204"
"Dominica","2019","General government final consumption expenditure","414086127"
"Dominica","2019","Gross capital formation","390684332"
"Dominica","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","390684332"
"Dominica","2019","Exports of goods and services","637788052"
"Dominica","2019","Imports of goods and services","1249580682"
"Dominica","2019","Gross Domestic Product (GDP)","1651150000"
"Dominica","2018","Final consumption expenditure","1724390000"
"Dominica","2018","Household consumption expenditure (including Non-profit institutions serving households)","1314110000"
"Dominica","2018","General government final consumption expenditure","410280000"
"Dominica","2018","Gross capital formation","489870000"
"Dominica","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","489870000"
"Dominica","2018","Exports of goods and services","437280000"
"Dominica","2018","Imports of goods and services","1164860000"
"Dominica","2018","Gross Domestic Product (GDP)","1497880000"
"Dominica","2017","Final consumption expenditure","1460560000"
"Dominica","2017","Household consumption expenditure (including Non-profit institutions serving households)","1121490000"
"Dominica","2017","General government final consumption expenditure","339070000"
"Dominica","2017","Gross capital formation","236920000"
"Dominica","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","236920000"
"Dominica","2017","Exports of goods and services","575610000"
"Dominica","2017","Imports of goods and services","869560000"
"Dominica","2017","Gross Domestic Product (GDP)","1405890000"
"Dominica","2016","Final consumption expenditure","1514020000"
"Dominica","2016","Household consumption expenditure (including Non-profit institutions serving households)","1217140000"
"Dominica","2016","General government final consumption expenditure","296880000"
"Dominica","2016","Gross capital formation","236590000"
"Dominica","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","236590000"
"Dominica","2016","Exports of goods and services","694380000"
"Dominica","2016","Imports of goods and services","889170000"
"Dominica","2016","Gross Domestic Product (GDP)","1555820000"
"Dominica","2015","Final consumption expenditure","1457600000"
"Dominica","2015","Household consumption expenditure (including Non-profit institutions serving households)","1145910000"
"Dominica","2015","General government final consumption expenditure","311690000"
"Dominica","2015","Gross capital formation","194240000"
"Dominica","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","194240000"
"Dominica","2015","Exports of goods and services","690930000"
"Dominica","2015","Imports of goods and services","882760000"
"Dominica","2015","Gross Domestic Product (GDP)","1459990000"
"Dominica","2014","Final consumption expenditure","1370120000"
"Dominica","2014","Household consumption expenditure (including Non-profit institutions serving households)","1082530000"
"Dominica","2014","General government final consumption expenditure","287590000"
"Dominica","2014","Gross capital formation","212330000"
"Dominica","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","210790000"
"Dominica","2014","Changes in inventories","1540000"
"Dominica","2014","Exports of goods and services","736510000"
"Dominica","2014","Imports of goods and services","914400000"
"Dominica","2014","Gross Domestic Product (GDP)","1404560000"
"Dominica","2013","Final consumption expenditure","1296690000"
"Dominica","2013","Household consumption expenditure (including Non-profit institutions serving households)","1029510000"
"Dominica","2013","General government final consumption expenditure","267180000"
"Dominica","2013","Gross capital formation","184240000"
"Dominica","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","187350000"
"Dominica","2013","Changes in inventories","-3110000"
"Dominica","2013","Exports of goods and services","522360000"
"Dominica","2013","Imports of goods and services","657890000"
"Dominica","2013","Gross Domestic Product (GDP)","1345400000"
"Dominica","2012","Final consumption expenditure","1363020000"
"Dominica","2012","Household consumption expenditure (including Non-profit institutions serving households)","1120990000"
"Dominica","2012","General government final consumption expenditure","242030000"
"Dominica","2012","Gross capital formation","196260000"
"Dominica","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","199570000"
"Dominica","2012","Changes in inventories","-3310000"
"Dominica","2012","Exports of goods and services","427580000"
"Dominica","2012","Imports of goods and services","674670000"
"Dominica","2012","Gross Domestic Product (GDP)","1312190000"
"Dominica","2011","Final consumption expenditure","1335060000"
"Dominica","2011","Household consumption expenditure (including Non-profit institutions serving households)","1100140000"
"Dominica","2011","General government final consumption expenditure","234920000"
"Dominica","2011","Gross capital formation","224360000"
"Dominica","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","224360000"
"Dominica","2011","Exports of goods and services","508340000"
"Dominica","2011","Imports of goods and services","714980000"
"Dominica","2011","Gross Domestic Product (GDP)","1352770000"
"Dominica","2010","Final consumption expenditure","1328220000"
"Dominica","2010","Household consumption expenditure (including Non-profit institutions serving households)","1105170000"
"Dominica","2010","General government final consumption expenditure","223050000"
"Dominica","2010","Gross capital formation","245060000"
"Dominica","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","245060000"
"Dominica","2010","Exports of goods and services","474240000"
"Dominica","2010","Imports of goods and services","714200000"
"Dominica","2010","Gross Domestic Product (GDP)","1333330000"
"Dominica","2009","Final consumption expenditure","1379160000"
"Dominica","2009","Household consumption expenditure (including Non-profit institutions serving households)","1156710000"
"Dominica","2009","General government final consumption expenditure","222450000"
"Dominica","2009","Gross capital formation","255930000"
"Dominica","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","255930000"
"Dominica","2009","Exports of goods and services","399470000"
"Dominica","2009","Imports of goods and services","714060000"
"Dominica","2009","Gross Domestic Product (GDP)","1320500000"
"Dominica","2008","Final consumption expenditure","1328690000"
"Dominica","2008","Household consumption expenditure (including Non-profit institutions serving households)","1147840000"
"Dominica","2008","General government final consumption expenditure","180850000"
"Dominica","2008","Gross capital formation","261010000"
"Dominica","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","261010000"
"Dominica","2008","Exports of goods and services","423180000"
"Dominica","2008","Imports of goods and services","775770000"
"Dominica","2008","Gross Domestic Product (GDP)","1237110000"
"Dominica","2007","Final consumption expenditure","1155450000"
"Dominica","2007","Household consumption expenditure (including Non-profit institutions serving households)","970500000"
"Dominica","2007","General government final consumption expenditure","184950000"
"Dominica","2007","Gross capital formation","221180000"
"Dominica","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","221180000"
"Dominica","2007","Exports of goods and services","399180000"
"Dominica","2007","Imports of goods and services","638100000"
"Dominica","2007","Gross Domestic Product (GDP)","1137710000"
"Dominica","2006","Final consumption expenditure","998540000"
"Dominica","2006","Household consumption expenditure (including Non-profit institutions serving households)","833650000"
"Dominica","2006","General government final consumption expenditure","164890000"
"Dominica","2006","Gross capital formation","202070000"
"Dominica","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","202070000"
"Dominica","2006","Exports of goods and services","389960000"
"Dominica","2006","Imports of goods and services","536900000"
"Dominica","2006","Gross Domestic Product (GDP)","1053680000"
"Dominica","2005","Final consumption expenditure","966160000"
"Dominica","2005","Household consumption expenditure (including Non-profit institutions serving households)","811450000"
"Dominica","2005","General government final consumption expenditure","154710000"
"Dominica","2005","Gross capital formation","197600000"
"Dominica","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","197600000"
"Dominica","2005","Exports of goods and services","349270000"
"Dominica","2005","Imports of goods and services","529540000"
"Dominica","2005","Gross Domestic Product (GDP)","983490000"
"Dominica","2004","Final consumption expenditure","934830000"
"Dominica","2004","Household consumption expenditure (including Non-profit institutions serving households)","792450000"
"Dominica","2004","General government final consumption expenditure","142380000"
"Dominica","2004","Gross capital formation","174420000"
"Dominica","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","174420000"
"Dominica","2004","Exports of goods and services","352290000"
"Dominica","2004","Imports of goods and services","470100000"
"Dominica","2004","Gross Domestic Product (GDP)","991440000"
"Dominica","2003","Final consumption expenditure","884660000"
"Dominica","2003","Household consumption expenditure (including Non-profit institutions serving households)","746040000"
"Dominica","2003","General government final consumption expenditure","138620000"
"Dominica","2003","Gross capital formation","147380000"
"Dominica","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","147380000"
"Dominica","2003","Exports of goods and services","319710000"
"Dominica","2003","Imports of goods and services","424810000"
"Dominica","2003","Gross Domestic Product (GDP)","926940000"
"Dominica","2002","Final consumption expenditure","875020000"
"Dominica","2002","Household consumption expenditure (including Non-profit institutions serving households)","723640000"
"Dominica","2002","General government final consumption expenditure","151380000"
"Dominica","2002","Gross capital formation","113890000"
"Dominica","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","113890000"
"Dominica","2002","Exports of goods and services","332550000"
"Dominica","2002","Imports of goods and services","421830000"
"Dominica","2002","Gross Domestic Product (GDP)","899630000"
"Dominica","2001","Final consumption expenditure","892270000"
"Dominica","2001","Household consumption expenditure (including Non-profit institutions serving households)","727720000"
"Dominica","2001","General government final consumption expenditure","164550000"
"Dominica","2001","Gross capital formation","146430000"
