"Country or Area","Year","Item","Value"
"Dominica","2021","Gross National Income (GNI)","549867075.555555"
"Dominica","2020","Gross National Income (GNI)","513558556.296296"
"Dominica","2019","Gross National Income (GNI)","602072449.259259"
"Dominica","2018","Gross National Income (GNI)","551940740.740741"
"Dominica","2017","Gross National Income (GNI)","485544444.444444"
"Dominica","2016","Gross National Income (GNI)","558666666.666667"
"Dominica","2015","Gross National Income (GNI)","519000000"
"Dominica","2014","Gross National Income (GNI)","511029629.62963"
"Dominica","2013","Gross National Income (GNI)","488940740.740741"
"Dominica","2012","Gross National Income (GNI)","476374074.074074"
"Dominica","2011","Gross National Income (GNI)","490440740.740741"
"Dominica","2010","Gross National Income (GNI)","484381481.481481"
"Dominica","2009","Gross National Income (GNI)","475418518.518519"
"Dominica","2008","Gross National Income (GNI)","439855555.555556"
"Dominica","2007","Gross National Income (GNI)","401759259.259259"
"Dominica","2006","Gross National Income (GNI)","375244444.444444"
"Dominica","2005","Gross National Income (GNI)","335274074.074074"
"Dominica","2004","Gross National Income (GNI)","333866666.666667"
"Dominica","2003","Gross National Income (GNI)","316296296.296296"
"Dominica","2002","Gross National Income (GNI)","305262962.962963"
"Dominica","2001","Gross National Income (GNI)","315096296.296296"
"Dominica","2000","Gross National Income (GNI)","294151851.851852"
"Dominica","1999","Gross National Income (GNI)","302766189.62963"
"Dominica","1998","Gross National Income (GNI)","305392173.333333"
"Dominica","1997","Gross National Income (GNI)","285268894.814815"
"Dominica","1996","Gross National Income (GNI)","271898145.555556"
"Dominica","1995","Gross National Income (GNI)","259226732.222222"
"Dominica","1994","Gross National Income (GNI)","253812667.407407"
"Dominica","1993","Gross National Income (GNI)","252069841.481481"
"Dominica","1992","Gross National Income (GNI)","241570625.555556"
"Dominica","1991","Gross National Income (GNI)","227702771.481481"
"Dominica","1990","Gross National Income (GNI)","214815977.777778"
"Dominica","1989","Gross National Income (GNI)","201034921.851852"
"Dominica","1988","Gross National Income (GNI)","184331039.259259"
"Dominica","1987","Gross National Income (GNI)","156858352.962963"
"Dominica","1986","Gross National Income (GNI)","139552020"
"Dominica","1985","Gross National Income (GNI)","123681213.703704"
"Dominica","1984","Gross National Income (GNI)","112907703.333333"
"Dominica","1983","Gross National Income (GNI)","102077713.703704"
"Dominica","1982","Gross National Income (GNI)","91817227.7777778"
"Dominica","1981","Gross National Income (GNI)","84912580"
"Dominica","1980","Gross National Income (GNI)","75485170.3703704"
"Dominica","1979","Gross National Income (GNI)","56164392.962963"
"Dominica","1978","Gross National Income (GNI)","57148081.8518519"
"Dominica","1977","Gross National Income (GNI)","46238078.8888889"
"Dominica","1976","Gross National Income (GNI)","42014310.0311253"
"Dominica","1975","Gross National Income (GNI)","42963977.8134106"
"Dominica","1974","Gross National Income (GNI)","40616427.3727827"
"Dominica","1973","Gross National Income (GNI)","31987742.2847987"
"Dominica","1972","Gross National Income (GNI)","28038711.6330303"
"Dominica","1971","Gross National Income (GNI)","26321189.778883"
"Dominica","1970","Gross National Income (GNI)","23373160.4883134"

