"Country or Area","Year(s)","Variant","Value"
"Dominica","2101","Medium",""
"Dominica","2100","Medium","3.1213"
"Dominica","2099","Medium","3.1465"
"Dominica","2098","Medium","3.169"
"Dominica","2097","Medium","3.1917"
"Dominica","2096","Medium","3.2205"
"Dominica","2095","Medium","3.2413"
"Dominica","2094","Medium","3.2644"
"Dominica","2093","Medium","3.2948"
"Dominica","2092","Medium","3.3171"
"Dominica","2091","Medium","3.3484"
"Dominica","2090","Medium","3.3723"
"Dominica","2089","Medium","3.3956"
"Dominica","2088","Medium","3.4275"
"Dominica","2087","Medium","3.4513"
"Dominica","2086","Medium","3.4837"
"Dominica","2085","Medium","3.5107"
"Dominica","2084","Medium","3.5395"
"Dominica","2083","Medium","3.5718"
"Dominica","2082","Medium","3.5995"
"Dominica","2081","Medium","3.6326"
"Dominica","2080","Medium","3.67"
"Dominica","2079","Medium","3.7049"
"Dominica","2078","Medium","3.7393"
"Dominica","2077","Medium","3.7786"
"Dominica","2076","Medium","3.8188"
"Dominica","2075","Medium","3.8547"
"Dominica","2074","Medium","3.9023"
"Dominica","2073","Medium","3.9476"
"Dominica","2072","Medium","3.9983"
"Dominica","2071","Medium","4.0566"
"Dominica","2070","Medium","4.1055"
"Dominica","2069","Medium","4.1693"
"Dominica","2068","Medium","4.2218"
"Dominica","2067","Medium","4.2787"
"Dominica","2066","Medium","4.3422"
"Dominica","2065","Medium","4.4008"
"Dominica","2064","Medium","4.4662"
"Dominica","2063","Medium","4.5325"
"Dominica","2062","Medium","4.5982"
"Dominica","2061","Medium","4.6716"
"Dominica","2060","Medium","4.7404"
"Dominica","2059","Medium","4.819"
"Dominica","2058","Medium","4.9013"
"Dominica","2057","Medium","4.9907"
"Dominica","2056","Medium","5.0716"
"Dominica","2055","Medium","5.1644"
"Dominica","2054","Medium","5.2466"
"Dominica","2053","Medium","5.3342"
"Dominica","2052","Medium","5.4226"
"Dominica","2051","Medium","5.5202"
"Dominica","2050","Medium","5.6193"
"Dominica","2049","Medium","5.71"
