"Country or Area","Year(s)","Variant","Value"
"Dominica","2101","Medium",""
"Dominica","2100","Medium","3.6653"
"Dominica","2099","Medium","3.6962"
"Dominica","2098","Medium","3.7237"
"Dominica","2097","Medium","3.7519"
"Dominica","2096","Medium","3.787"
"Dominica","2095","Medium","3.8128"
"Dominica","2094","Medium","3.8414"
"Dominica","2093","Medium","3.8786"
"Dominica","2092","Medium","3.9064"
"Dominica","2091","Medium","3.9446"
"Dominica","2090","Medium","3.9745"
"Dominica","2089","Medium","4.0035"
"Dominica","2088","Medium","4.0424"
"Dominica","2087","Medium","4.0721"
"Dominica","2086","Medium","4.1117"
"Dominica","2085","Medium","4.1451"
"Dominica","2084","Medium","4.1806"
"Dominica","2083","Medium","4.2202"
"Dominica","2082","Medium","4.2548"
"Dominica","2081","Medium","4.2955"
"Dominica","2080","Medium","4.3414"
"Dominica","2079","Medium","4.3843"
"Dominica","2078","Medium","4.427"
"Dominica","2077","Medium","4.4756"
"Dominica","2076","Medium","4.5251"
"Dominica","2075","Medium","4.57"
"Dominica","2074","Medium","4.6284"
"Dominica","2073","Medium","4.6847"
"Dominica","2072","Medium","4.7473"
"Dominica","2071","Medium","4.819"
"Dominica","2070","Medium","4.8798"
"Dominica","2069","Medium","4.9582"
"Dominica","2068","Medium","5.0234"
"Dominica","2067","Medium","5.0938"
"Dominica","2066","Medium","5.172"
"Dominica","2065","Medium","5.2448"
"Dominica","2064","Medium","5.3254"
"Dominica","2063","Medium","5.4071"
"Dominica","2062","Medium","5.4886"
"Dominica","2061","Medium","5.5789"
"Dominica","2060","Medium","5.6639"
"Dominica","2059","Medium","5.761"
"Dominica","2058","Medium","5.8627"
"Dominica","2057","Medium","5.9727"
"Dominica","2056","Medium","6.0725"
"Dominica","2055","Medium","6.1867"
"Dominica","2054","Medium","6.2882"
"Dominica","2053","Medium","6.3961"
"Dominica","2052","Medium","6.5051"
"Dominica","2051","Medium","6.6251"
"Dominica","2050","Medium","6.7468"
"Dominica","2049","Medium","6.8585"
"Dominica","2048","Medium","6.9854"
"Dominica","2047","Medium","7.0982"
"Dominica","2046","Medium","7.2304"
"Dominica","2045","Medium","7.3923"
"Dominica","2044","Medium","7.5678"
"Dominica","2043","Medium","7.7377"
"Dominica","2042","Medium","7.9139"
"Dominica","2041","Medium","8.0939"
"Dominica","2040","Medium","8.2718"
"Dominica","2039","Medium","8.463"
"Dominica","2038","Medium","8.659"
"Dominica","2037","Medium","8.8704"
"Dominica","2036","Medium","9.1171"
"Dominica","2035","Medium","9.3444"
"Dominica","2034","Medium","9.5804"
"Dominica","2033","Medium","9.8438"
"Dominica","2032","Medium","10.1037"
"Dominica","2031","Medium","10.3733"
"Dominica","2030","Medium","10.6509"
"Dominica","2029","Medium","10.9383"
"Dominica","2028","Medium","11.2204"
"Dominica","2027","Medium","11.5102"
"Dominica","2026","Medium","11.8094"
"Dominica","2025","Medium","12.1193"
"Dominica","2024","Medium","12.4263"
"Dominica","2023","Medium","12.7591"
"Dominica","2022","Medium","13.5712"
"Dominica","2021","Medium","13.6767"
"Dominica","2020","Medium","14.0199"
"Dominica","2019","Medium","14.2443"
"Dominica","2018","Medium","14.3109"
"Dominica","2017","Medium","48.1109"
"Dominica","2016","Medium","36.3755"
"Dominica","2015","Medium","43.7111"
"Dominica","2014","Medium","43.4423"
"Dominica","2013","Medium","44.4869"
"Dominica","2012","Medium","33.5087"
"Dominica","2011","Medium","36.3446"
"Dominica","2010","Medium","25.0475"
"Dominica","2009","Medium","23.6874"
"Dominica","2008","Medium","15.1347"
"Dominica","2007","Medium","21.0799"
"Dominica","2006","Medium","16.4064"
"Dominica","2005","Medium","20.8986"
"Dominica","2004","Medium","17.2188"
"Dominica","2003","Medium","21.0627"
"Dominica","2002","Medium","16.2301"
"Dominica","2001","Medium","23.6168"
"Dominica","2000","Medium","19.5343"
"Dominica","1999","Medium","23.1458"
"Dominica","1998","Medium","15.5797"
"Dominica","1997","Medium","16.3308"
"Dominica","1996","Medium","16.1424"
"Dominica","1995","Medium","16.1804"
"Dominica","1994","Medium","19.3022"
"Dominica","1993","Medium","17.2486"
"Dominica","1992","Medium","18.7097"
"Dominica","1991","Medium","21.1204"
"Dominica","1990","Medium","21.007"
"Dominica","1989","Medium","23.8669"
"Dominica","1988","Medium","17.7143"
"Dominica","1987","Medium","24.3241"
