"Country or Area","Year","Item","Value"
"Bahamas","2021","Final consumption expenditure","9506420000"
"Bahamas","2021","Household consumption expenditure (including Non-profit institutions serving households)","7680320000"
"Bahamas","2021","General government final consumption expenditure","1826100000"
"Bahamas","2021","Gross capital formation","2889560000"
"Bahamas","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2759818000"
"Bahamas","2021","Changes in inventories","129742000"
"Bahamas","2021","Exports of goods and services","3081770000"
"Bahamas","2021","Imports of goods and services","4722510000"
"Bahamas","2021","Gross Domestic Product (GDP)","11208600000"
"Bahamas","2020","Final consumption expenditure","7957658000"
"Bahamas","2020","Household consumption expenditure (including Non-profit institutions serving households)","6335488000"
"Bahamas","2020","General government final consumption expenditure","1622170000"
"Bahamas","2020","Gross capital formation","2378240000"
"Bahamas","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2268049000"
"Bahamas","2020","Changes in inventories","110191000"
"Bahamas","2020","Exports of goods and services","2452820000"
"Bahamas","2020","Imports of goods and services","3314230000"
"Bahamas","2020","Gross Domestic Product (GDP)","9699510000"
"Bahamas","2019","Final consumption expenditure","9851831000"
"Bahamas","2019","Household consumption expenditure (including Non-profit institutions serving households)","8037901000"
"Bahamas","2019","General government final consumption expenditure","1813930000"
"Bahamas","2019","Gross capital formation","3479600000"
"Bahamas","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3344164000"
"Bahamas","2019","Changes in inventories","135436000"
"Bahamas","2019","Exports of goods and services","4708330000"
"Bahamas","2019","Imports of goods and services","4779970000"
"Bahamas","2019","Gross Domestic Product (GDP)","13192800000"
"Bahamas","2018","Final consumption expenditure","9999893438"
"Bahamas","2018","Household consumption expenditure (including Non-profit institutions serving households)","8421423438"
"Bahamas","2018","General government final consumption expenditure","1578470000"
"Bahamas","2018","Gross capital formation","3366740000"
"Bahamas","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3226661575"
"Bahamas","2018","Changes in inventories","140078425"
"Bahamas","2018","Exports of goods and services","4573730000"
"Bahamas","2018","Imports of goods and services","5077600000"
"Bahamas","2018","Gross Domestic Product (GDP)","12755800000"
"Bahamas","2017","Final consumption expenditure","9837720720"
"Bahamas","2017","Household consumption expenditure (including Non-profit institutions serving households)","8260030720"
"Bahamas","2017","General government final consumption expenditure","1577690000"
"Bahamas","2017","Gross capital formation","3427980000"
"Bahamas","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3295302249"
"Bahamas","2017","Changes in inventories","132677751"
"Bahamas","2017","Exports of goods and services","3962970000"
"Bahamas","2017","Imports of goods and services","4904470000"
"Bahamas","2017","Gross Domestic Product (GDP)","12357600000"
"Bahamas","2016","Final consumption expenditure","9064911760"
"Bahamas","2016","Household consumption expenditure (including Non-profit institutions serving households)","7682481760"
"Bahamas","2016","General government final consumption expenditure","1382430000"
"Bahamas","2016","Gross capital formation","3091240000"
"Bahamas","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2975497335"
"Bahamas","2016","Changes in inventories","115742665"
"Bahamas","2016","Exports of goods and services","3936500000"
"Bahamas","2016","Imports of goods and services","4393580000"
"Bahamas","2016","Gross Domestic Product (GDP)","11834600000"
"Bahamas","2015","Final consumption expenditure","8956795726"
"Bahamas","2015","Household consumption expenditure (including Non-profit institutions serving households)","7502395726"
"Bahamas","2015","General government final consumption expenditure","1454400000"
"Bahamas","2015","Gross capital formation","2916000000"
"Bahamas","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2792888498"
"Bahamas","2015","Changes in inventories","123111502"
"Bahamas","2015","Exports of goods and services","4389450000"
"Bahamas","2015","Imports of goods and services","4323650000"
"Bahamas","2015","Gross Domestic Product (GDP)","11861900000"
"Bahamas","2014","Final consumption expenditure","8538542680"
