"Country or Area","Year","Item","Value"
"Bahamas","2021","Agriculture, hunting, forestry, fishing (ISIC A-B)","51627124.6236499"
"Bahamas","2021","Mining, Manufacturing, Utilities (ISIC C-E)","187216619.025027"
"Bahamas","2021","Manufacturing (ISIC D)","55663040.4425304"
"Bahamas","2021","Construction (ISIC F)","832721673.009082"
"Bahamas","2021","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2257942487.45857"
"Bahamas","2021","Transport, storage and communication (ISIC I)","849940597.785055"
"Bahamas","2021","Other Activities (ISIC J-P)","5738162012.07987"
"Bahamas","2021","Total Value Added","9739655007.44475"
"Bahamas","2020","Agriculture, hunting, forestry, fishing (ISIC A-B)","75618181.4599649"
"Bahamas","2020","Mining, Manufacturing, Utilities (ISIC C-E)","274010913.062543"
"Bahamas","2020","Manufacturing (ISIC D)","99420914.1453884"
"Bahamas","2020","Construction (ISIC F)","605143129.421263"
"Bahamas","2020","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1805732657.62803"
"Bahamas","2020","Transport, storage and communication (ISIC I)","671978836.137867"
"Bahamas","2020","Other Activities (ISIC J-P)","5579997578.19558"
"Bahamas","2020","Total Value Added","8917335813.5581"
"Bahamas","2019","Agriculture, hunting, forestry, fishing (ISIC A-B)","66238759.975123"
"Bahamas","2019","Mining, Manufacturing, Utilities (ISIC C-E)","405333154.537907"
"Bahamas","2019","Manufacturing (ISIC D)","95342839.6021258"
"Bahamas","2019","Construction (ISIC F)","944698827.073198"
"Bahamas","2019","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2790685723.87946"
"Bahamas","2019","Transport, storage and communication (ISIC I)","934934760.314032"
"Bahamas","2019","Other Activities (ISIC J-P)","5966834852.27282"
"Bahamas","2019","Total Value Added","10975504299.3913"
"Bahamas","2018","Agriculture, hunting, forestry, fishing (ISIC A-B)","84582555.3738748"
"Bahamas","2018","Mining, Manufacturing, Utilities (ISIC C-E)","481372641.711864"
"Bahamas","2018","Manufacturing (ISIC D)","217125121.463265"
"Bahamas","2018","Construction (ISIC F)","841780485.652429"
"Bahamas","2018","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2624769435.34577"
"Bahamas","2018","Transport, storage and communication (ISIC I)","914405216.106185"
"Bahamas","2018","Other Activities (ISIC J-P)","5950707866.84796"
"Bahamas","2018","Total Value Added","10813564019.8733"
"Bahamas","2017","Agriculture, hunting, forestry, fishing (ISIC A-B)","96215936.811893"
"Bahamas","2017","Mining, Manufacturing, Utilities (ISIC C-E)","525336298.293096"
"Bahamas","2017","Manufacturing (ISIC D)","320868393.063561"
"Bahamas","2017","Construction (ISIC F)","906895955.543099"
"Bahamas","2017","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2382359899.15817"
"Bahamas","2017","Transport, storage and communication (ISIC I)","995281139.737011"
"Bahamas","2017","Other Activities (ISIC J-P)","5976210155.57934"
"Bahamas","2017","Total Value Added","10815687768.2905"
"Bahamas","2016","Agriculture, hunting, forestry, fishing (ISIC A-B)","101507690.941088"
"Bahamas","2016","Mining, Manufacturing, Utilities (ISIC C-E)","528803395.980922"
"Bahamas","2016","Manufacturing (ISIC D)","364985440.727834"
"Bahamas","2016","Construction (ISIC F)","795858900.451511"
"Bahamas","2016","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2493466410.95954"
"Bahamas","2016","Transport, storage and communication (ISIC I)","1054715094.97297"
"Bahamas","2016","Other Activities (ISIC J-P)","5693571847.80515"
"Bahamas","2016","Total Value Added","10614476284.7494"
"Bahamas","2015","Agriculture, hunting, forestry, fishing (ISIC A-B)","96536091"
"Bahamas","2015","Mining, Manufacturing, Utilities (ISIC C-E)","617295000"
"Bahamas","2015","Manufacturing (ISIC D)","287753000"
"Bahamas","2015","Construction (ISIC F)","690717000"
"Bahamas","2015","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2391120000"
"Bahamas","2015","Transport, storage and communication (ISIC I)","1089043000"
"Bahamas","2015","Other Activities (ISIC J-P)","5603160715"
"Bahamas","2015","Total Value Added","10487871806"
"Bahamas","2014","Agriculture, hunting, forestry, fishing (ISIC A-B)","95849297.2958415"
"Bahamas","2014","Mining, Manufacturing, Utilities (ISIC C-E)","513414741.319427"
"Bahamas","2014","Manufacturing (ISIC D)","328617915.954224"
"Bahamas","2014","Construction (ISIC F)","901361448.443366"
"Bahamas","2014","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2313433842.42916"
"Bahamas","2014","Transport, storage and communication (ISIC I)","1097284495.10183"
"Bahamas","2014","Other Activities (ISIC J-P)","5377192854.71027"
"Bahamas","2014","Total Value Added","10235070760.3935"
"Bahamas","2013","Agriculture, hunting, forestry, fishing (ISIC A-B)","101978083.634963"
"Bahamas","2013","Mining, Manufacturing, Utilities (ISIC C-E)","421664231.137163"
"Bahamas","2013","Manufacturing (ISIC D)","309179493.666544"
"Bahamas","2013","Construction (ISIC F)","868352658.983827"
"Bahamas","2013","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2307765392.38887"
"Bahamas","2013","Transport, storage and communication (ISIC I)","976555058.447558"
"Bahamas","2013","Other Activities (ISIC J-P)","5243944710.21616"
"Bahamas","2013","Total Value Added","9826682513.68942"
"Bahamas","2012","Agriculture, hunting, forestry, fishing (ISIC A-B)","125262045.385146"
"Bahamas","2012","Mining, Manufacturing, Utilities (ISIC C-E)","445142870.87748"
"Bahamas","2012","Manufacturing (ISIC D)","352243631.786507"
"Bahamas","2012","Construction (ISIC F)","941723953.730852"
"Bahamas","2012","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2440563339.81305"
"Bahamas","2012","Transport, storage and communication (ISIC I)","835793399.115098"
"Bahamas","2012","Other Activities (ISIC J-P)","5327205181.61673"
"Bahamas","2012","Total Value Added","10014144696.782"
"Bahamas","2011","Agriculture, hunting, forestry, fishing (ISIC A-B)","121464052.910554"
"Bahamas","2011","Mining, Manufacturing, Utilities (ISIC C-E)","435162175.664844"
"Bahamas","2011","Manufacturing (ISIC D)","310763557.919301"
"Bahamas","2011","Construction (ISIC F)","788191292.207057"
"Bahamas","2011","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2363610735.50869"
"Bahamas","2011","Transport, storage and communication (ISIC I)","806488450.887874"
"Bahamas","2011","Other Activities (ISIC J-P)","5347755503.10712"
"Bahamas","2011","Total Value Added","9781074397.43782"
"Bahamas","2010","Agriculture, hunting, forestry, fishing (ISIC A-B)","131704071.72095"
"Bahamas","2010","Mining, Manufacturing, Utilities (ISIC C-E)","427100877.713201"
"Bahamas","2010","Manufacturing (ISIC D)","309871200.251191"
"Bahamas","2010","Construction (ISIC F)","635810010.387847"
"Bahamas","2010","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2475694636.05118"
"Bahamas","2010","Transport, storage and communication (ISIC I)","745146419.395957"
"Bahamas","2010","Other Activities (ISIC J-P)","5360362528.50526"
"Bahamas","2010","Total Value Added","9706178668.58557"
"Bahamas","2009","Agriculture, hunting, forestry, fishing (ISIC A-B)","130070026.1661"
"Bahamas","2009","Mining, Manufacturing, Utilities (ISIC C-E)","413566771.977874"
"Bahamas","2009","Manufacturing (ISIC D)","284104372.584515"
"Bahamas","2009","Construction (ISIC F)","215133480.237378"
"Bahamas","2009","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2527508015.09852"
"Bahamas","2009","Transport, storage and communication (ISIC I)","803611437.685573"
"Bahamas","2009","Other Activities (ISIC J-P)","5226852062.81349"
"Bahamas","2009","Total Value Added","9296817082.11914"
