"Country or Area","Year","Item","Value"
"Haiti","2021","Final consumption expenditure","1780245000000"
"Haiti","2021","Household consumption expenditure (including Non-profit institutions serving households)","1653670000000"
"Haiti","2021","General government final consumption expenditure","126575000000"
"Haiti","2021","Gross capital formation","306674000000"
"Haiti","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","306674000000"
"Haiti","2021","Exports of goods and services","120894000000"
"Haiti","2021","Imports of goods and services","508604000000"
"Haiti","2021","Gross Domestic Product (GDP)","1699209000000"
"Haiti","2020","Final consumption expenditure","1513810000000"
"Haiti","2020","Household consumption expenditure (including Non-profit institutions serving households)","1407793000000"
"Haiti","2020","General government final consumption expenditure","106017000000"
"Haiti","2020","Gross capital formation","330077000000"
"Haiti","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","330077000000"
"Haiti","2020","Exports of goods and services","101541000000"
"Haiti","2020","Imports of goods and services","398050000000"
"Haiti","2020","Gross Domestic Product (GDP)","1547378000000"
"Haiti","2019","Final consumption expenditure","1311337000000"
"Haiti","2019","Household consumption expenditure (including Non-profit institutions serving households)","1220482000000"
"Haiti","2019","General government final consumption expenditure","90855000000"
"Haiti","2019","Gross capital formation","234184000000"
"Haiti","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","234184000000"
"Haiti","2019","Exports of goods and services","133384000000"
"Haiti","2019","Imports of goods and services","429691000000"
"Haiti","2019","Gross Domestic Product (GDP)","1249214000000"
"Haiti","2018","Final consumption expenditure","1150913000000"
"Haiti","2018","Household consumption expenditure (including Non-profit institutions serving households)","1062241000000"
"Haiti","2018","General government final consumption expenditure","88672000000"
"Haiti","2018","Gross capital formation","172239000000"
"Haiti","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","172239000000"
"Haiti","2018","Exports of goods and services","115685000000"
"Haiti","2018","Imports of goods and services","368681000000"
"Haiti","2018","Gross Domestic Product (GDP)","1070166000000"
"Haiti","2017","Final consumption expenditure","1020522000000"
"Haiti","2017","Household consumption expenditure (including Non-profit institutions serving households)","942279000000"
"Haiti","2017","General government final consumption expenditure","78243000000"
"Haiti","2017","Gross capital formation","199481000000"
"Haiti","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","199481000000"
"Haiti","2017","Exports of goods and services","109249000000"
"Haiti","2017","Imports of goods and services","342333000000"
"Haiti","2017","Gross Domestic Product (GDP)","986919000000"
"Haiti","2016","Final consumption expenditure","887302000000"
"Haiti","2016","Household consumption expenditure (including Non-profit institutions serving households)","817572000000"
"Haiti","2016","General government final consumption expenditure","69730000000"
"Haiti","2016","Gross capital formation","143013000000"
"Haiti","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","143013000000"
"Haiti","2016","Exports of goods and services","97403000000"
"Haiti","2016","Imports of goods and services","283239000000"
"Haiti","2016","Gross Domestic Product (GDP)","844479000000"
"Haiti","2015","Final consumption expenditure","752244680302"
"Haiti","2015","Household consumption expenditure (including Non-profit institutions serving households)","692700382394"
"Haiti","2015","General government final consumption expenditure","59544297908"
"Haiti","2015","Gross capital formation","102402741846"
"Haiti","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","102402741846"
"Haiti","2015","Exports of goods and services","84851923895"
"Haiti","2015","Imports of goods and services","218067760393"
"Haiti","2015","Gross Domestic Product (GDP)","721431585651"
"Haiti","2014","Final consumption expenditure","701900779895"
"Haiti","2014","Household consumption expenditure (including Non-profit institutions serving households)","650099878698"
"Haiti","2014","General government final consumption expenditure","51800901197"
"Haiti","2014","Gross capital formation","96018146133"
"Haiti","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","96018146133"
"Haiti","2014","Exports of goods and services","74180214283"
"Haiti","2014","Imports of goods and services","212078767219"
"Haiti","2014","Gross Domestic Product (GDP)","660020173093"
"Haiti","2013","Final consumption expenditure","654193912406"
"Haiti","2013","Household consumption expenditure (including Non-profit institutions serving households)","607978161880"
"Haiti","2013","General government final consumption expenditure","46215750526"
"Haiti","2013","Gross capital formation","95075658614"
"Haiti","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","95075658614"
"Haiti","2013","Exports of goods and services","67585499187"
"Haiti","2013","Imports of goods and services","191621019780"
"Haiti","2013","Gross Domestic Product (GDP)","625234050428"
"Haiti","2012","Final consumption expenditure","589593000749"
"Haiti","2012","Household consumption expenditure (including Non-profit institutions serving households)","547188196290"
"Haiti","2012","General government final consumption expenditure","42404804459"
"Haiti","2012","Gross capital formation","99801046035"
"Haiti","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","99801046035"
"Haiti","2012","Exports of goods and services","55033308433"
"Haiti","2012","Imports of goods and services","174434643330"
"Haiti","2012","Gross Domestic Product (GDP)","569992411887"
"Haiti","2011","Final consumption expenditure","539850829941"
"Haiti","2011","Household consumption expenditure (including Non-profit institutions serving households)","505508056829"
"Haiti","2011","General government final consumption expenditure","34342773112"
"Haiti","2011","Gross capital formation","110049004131"
"Haiti","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","110049004131"
"Haiti","2011","Exports of goods and services","52848021661"
"Haiti","2011","Imports of goods and services","178623851780"
"Haiti","2011","Gross Domestic Product (GDP)","524124003953"
"Haiti","2010","Final consumption expenditure","490438839080"
"Haiti","2010","Household consumption expenditure (including Non-profit institutions serving households)","455644831605"
"Haiti","2010","General government final consumption expenditure","34794007475"
"Haiti","2010","Gross capital formation","119454736979"
"Haiti","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","119454736979"
