"Country or Area","Year","Item","Value"
"Haiti","2021","Gross National Income (GNI)","19064726487.7262"
"Haiti","2020","Gross National Income (GNI)","16580386625.1598"
"Haiti","2019","Gross National Income (GNI)","14112591131.1412"
"Haiti","2018","Gross National Income (GNI)","15778454072.5696"
"Haiti","2017","Gross National Income (GNI)","15296653736.2476"
"Haiti","2016","Gross National Income (GNI)","13379011728.1537"
"Haiti","2015","Gross National Income (GNI)","14266590514.388"
"Haiti","2014","Gross National Income (GNI)","14644392357.9816"
"Haiti","2013","Gross National Income (GNI)","14415937283.6454"
"Haiti","2012","Gross National Income (GNI)","13641573157.5031"
"Haiti","2011","Gross National Income (GNI)","12971625701.1768"
"Haiti","2010","Gross National Income (GNI)","11833876558.9209"
"Haiti","2009","Gross National Income (GNI)","11356179079.9264"
"Haiti","2008","Gross National Income (GNI)","10120116654.162"
"Haiti","2007","Gross National Income (GNI)","9454227194.91247"
"Haiti","2006","Gross National Income (GNI)","7606163247.84667"
"Haiti","2005","Gross National Income (GNI)","6945557199.30628"
"Haiti","2004","Gross National Income (GNI)","6296653338.92771"
"Haiti","2003","Gross National Income (GNI)","4867589436.75771"
"Haiti","2002","Gross National Income (GNI)","5748266726.29342"
"Haiti","2001","Gross National Income (GNI)","6225589840.2246"
"Haiti","2000","Gross National Income (GNI)","6352972526.35721"
"Haiti","1999","Gross National Income (GNI)","6810361147.07309"
"Haiti","1998","Gross National Income (GNI)","6005318961.82674"
"Haiti","1997","Gross National Income (GNI)","5628187633.9728"
"Haiti","1996","Gross National Income (GNI)","5195847763.57146"
"Haiti","1995","Gross National Income (GNI)","4612685430.20835"
"Haiti","1994","Gross National Income (GNI)","3673843607.38032"
"Haiti","1993","Gross National Income (GNI)","3110599097.52388"
"Haiti","1992","Gross National Income (GNI)","3647232014.58935"
"Haiti","1991","Gross National Income (GNI)","5115585480.67946"
"Haiti","1990","Gross National Income (GNI)","5323711692.4"
"Haiti","1989","Gross National Income (GNI)","4696412499.4"
"Haiti","1988","Gross National Income (GNI)","4475128142.8"
"Haiti","1987","Gross National Income (GNI)","4662652258.8"
"Haiti","1986","Gross National Income (GNI)","5288933287.2"
"Haiti","1985","Gross National Income (GNI)","4579650633.6"
"Haiti","1984","Gross National Income (GNI)","4138998546.94492"
"Haiti","1983","Gross National Income (GNI)","3704332330.14087"
"Haiti","1982","Gross National Income (GNI)","3360835509.87217"
"Haiti","1981","Gross National Income (GNI)","3374213768.67484"
"Haiti","1980","Gross National Income (GNI)","3152711431.23054"
"Haiti","1979","Gross National Income (GNI)","2455587857.89112"
"Haiti","1978","Gross National Income (GNI)","2207864950.04157"
"Haiti","1977","Gross National Income (GNI)","2151229415.23025"
"Haiti","1976","Gross National Income (GNI)","2007108095.20142"
"Haiti","1975","Gross National Income (GNI)","1553563366.31071"
"Haiti","1974","Gross National Income (GNI)","1289263135.17085"
"Haiti","1973","Gross National Income (GNI)","1065484773.68499"
"Haiti","1972","Gross National Income (GNI)","846767190.895148"
"Haiti","1971","Gross National Income (GNI)","827431348.365486"
"Haiti","1970","Gross National Income (GNI)","756061364.795151"

