"Country or Area","Year(s)","Variant","Value"
"Haiti","2101","Medium",""
"Haiti","2100","Medium","8.328"
"Haiti","2099","Medium","8.4629"
"Haiti","2098","Medium","8.62"
"Haiti","2097","Medium","8.7687"
"Haiti","2096","Medium","8.9134"
"Haiti","2095","Medium","9.0722"
"Haiti","2094","Medium","9.2483"
"Haiti","2093","Medium","9.4062"
"Haiti","2092","Medium","9.5717"
"Haiti","2091","Medium","9.7446"
"Haiti","2090","Medium","9.9459"
"Haiti","2089","Medium","10.1839"
"Haiti","2088","Medium","10.3808"
"Haiti","2087","Medium","10.5785"
"Haiti","2086","Medium","10.7849"
"Haiti","2085","Medium","10.9811"
"Haiti","2084","Medium","11.2039"
"Haiti","2083","Medium","11.4156"
"Haiti","2082","Medium","11.6366"
"Haiti","2081","Medium","11.8448"
"Haiti","2080","Medium","12.0752"
"Haiti","2079","Medium","12.2945"
"Haiti","2078","Medium","12.4963"
"Haiti","2077","Medium","12.7172"
"Haiti","2076","Medium","12.9406"
"Haiti","2075","Medium","13.1513"
"Haiti","2074","Medium","13.48"
"Haiti","2073","Medium","13.7961"
"Haiti","2072","Medium","14.1152"
"Haiti","2071","Medium","14.4198"
"Haiti","2070","Medium","14.7529"
"Haiti","2069","Medium","15.0927"
"Haiti","2068","Medium","15.408"
"Haiti","2067","Medium","15.7703"
"Haiti","2066","Medium","16.1202"
"Haiti","2065","Medium","16.5159"
"Haiti","2064","Medium","16.8858"
"Haiti","2063","Medium","17.2607"
"Haiti","2062","Medium","17.6095"
"Haiti","2061","Medium","18.0296"
"Haiti","2060","Medium","18.4374"
"Haiti","2059","Medium","18.8749"
"Haiti","2058","Medium","19.3503"
"Haiti","2057","Medium","19.7583"
"Haiti","2056","Medium","20.2524"
"Haiti","2055","Medium","20.6989"
"Haiti","2054","Medium","21.2079"
"Haiti","2053","Medium","21.6779"
"Haiti","2052","Medium","22.2371"
"Haiti","2051","Medium","22.7519"
"Haiti","2050","Medium","23.2898"
"Haiti","2049","Medium","23.8713"
"Haiti","2048","Medium","24.4042"
"Haiti","2047","Medium","25.0319"
"Haiti","2046","Medium","25.6511"
"Haiti","2045","Medium","26.2569"
"Haiti","2044","Medium","26.9106"
"Haiti","2043","Medium","27.5892"
"Haiti","2042","Medium","28.2616"
"Haiti","2041","Medium","28.9621"
"Haiti","2040","Medium","29.6956"
"Haiti","2039","Medium","30.4785"
"Haiti","2038","Medium","31.1121"
"Haiti","2037","Medium","31.7503"
"Haiti","2036","Medium","32.459"
"Haiti","2035","Medium","33.1127"
"Haiti","2034","Medium","33.8173"
"Haiti","2033","Medium","34.56"
"Haiti","2032","Medium","35.3283"
"Haiti","2031","Medium","36.0958"
"Haiti","2030","Medium","36.92"
"Haiti","2029","Medium","37.7575"
"Haiti","2028","Medium","38.6133"
"Haiti","2027","Medium","39.5121"
"Haiti","2026","Medium","40.4172"
"Haiti","2025","Medium","41.3805"
"Haiti","2024","Medium","40.1483"
"Haiti","2023","Medium","40.7741"
"Haiti","2022","Medium","43.3752"
"Haiti","2021","Medium","45.9943"
"Haiti","2020","Medium","46.6518"
"Haiti","2019","Medium","47.8313"
"Haiti","2018","Medium","48.8997"
"Haiti","2017","Medium","50.1622"
"Haiti","2016","Medium","51.8315"
"Haiti","2015","Medium","52.8218"
"Haiti","2014","Medium","54.0541"
"Haiti","2013","Medium","55.3348"
"Haiti","2012","Medium","56.6917"
"Haiti","2011","Medium","58.2891"
"Haiti","2010","Medium","75.865"
"Haiti","2009","Medium","59.9188"
"Haiti","2008","Medium","61.3908"
"Haiti","2007","Medium","62.5652"
"Haiti","2006","Medium","63.7862"
"Haiti","2005","Medium","65.2286"
"Haiti","2004","Medium","70.675"
"Haiti","2003","Medium","68.4485"
"Haiti","2002","Medium","70.1591"
"Haiti","2001","Medium","72.1713"
"Haiti","2000","Medium","74.426"
"Haiti","1999","Medium","76.7277"
"Haiti","1998","Medium","79.2591"
"Haiti","1997","Medium","81.7026"
"Haiti","1996","Medium","84.4529"
"Haiti","1995","Medium","87.1933"
"Haiti","1994","Medium","90.4814"
"Haiti","1993","Medium","92.6368"
"Haiti","1992","Medium","95.2938"
"Haiti","1991","Medium","98.0388"
"Haiti","1990","Medium","100.6671"
"Haiti","1989","Medium","103.224"
"Haiti","1988","Medium","105.8122"
"Haiti","1987","Medium","108.4397"
"Haiti","1986","Medium","111.3342"
