"Country or Area","Year(s)","Variant","Value"
"Haiti","2100","Medium","16109.408"
"Haiti","2100","High","23991.296"
"Haiti","2100","Low","10275.46"
"Haiti","2100","Constant fertility","26999.542"
"Haiti","2100","Instant replacement","15487.64"
"Haiti","2100","Zero migration","18124.377"
"Haiti","2100","Constant mortality","13000.163"
"Haiti","2100","No change","22335.509"
"Haiti","2100","Momentum","14326.228"
"Haiti","2100","Instant replacement zero migration","17566.696"
"Haiti","2100","Median PI","16109.408"
"Haiti","2100","Upper 80 PI","23121.68"
"Haiti","2100","Lower 80 PI","11412.384"
"Haiti","2100","Upper 95 PI","27745.973"
"Haiti","2100","Lower 95 PI","9384.772"
"Haiti","2099","Medium","16142.639"
"Haiti","2099","High","23854.022"
"Haiti","2099","Low","10399.922"
"Haiti","2099","Constant fertility","26718.002"
"Haiti","2099","Instant replacement","15486.262"
"Haiti","2099","Zero migration","18135.573"
"Haiti","2099","Constant mortality","13088.158"
"Haiti","2099","No change","22184.078"
"Haiti","2099","Momentum","14358.606"
"Haiti","2099","Instant replacement zero migration","17538.432"
"Haiti","2099","Median PI","16142.639"
"Haiti","2099","Upper 80 PI","23020.748"
"Haiti","2099","Lower 80 PI","11486.354"
"Haiti","2099","Upper 95 PI","27595.601"
"Haiti","2099","Lower 95 PI","9508.53"
"Haiti","2098","Medium","16175.299"
"Haiti","2098","High","23717.454"
"Haiti","2098","Low","10524.372"
"Haiti","2098","Constant fertility","26440.111"
"Haiti","2098","Instant replacement","15485.353"
"Haiti","2098","Zero migration","18146.365"
"Haiti","2098","Constant mortality","13175.831"
"Haiti","2098","No change","22033.824"
"Haiti","2098","Momentum","14391.435"
"Haiti","2098","Instant replacement zero migration","17510.851"
"Haiti","2098","Median PI","16175.3"
"Haiti","2098","Upper 80 PI","22920.769"
"Haiti","2098","Lower 80 PI","11561.807"
"Haiti","2098","Upper 95 PI","27399.183"
"Haiti","2098","Lower 95 PI","9627.53"
"Haiti","2097","Medium","16206.766"
"Haiti","2097","High","23580.721"
"Haiti","2097","Low","10648.337"
"Haiti","2097","Constant fertility","26165.794"
"Haiti","2097","Instant replacement","15484.785"
"Haiti","2097","Zero migration","18156.063"
"Haiti","2097","Constant mortality","13262.645"
"Haiti","2097","No change","21884.749"
"Haiti","2097","Momentum","14424.679"
"Haiti","2097","Instant replacement zero migration","17483.844"
"Haiti","2097","Median PI","16206.766"
"Haiti","2097","Upper 80 PI","22828.282"
"Haiti","2097","Lower 80 PI","11641.748"
"Haiti","2097","Upper 95 PI","27151.684"
"Haiti","2097","Lower 95 PI","9742.693"
"Haiti","2096","Medium","16236.405"
"Haiti","2096","High","23442.951"
"Haiti","2096","Low","10771.359"
"Haiti","2096","Constant fertility","25895.015"
"Haiti","2096","Instant replacement","15484.498"
"Haiti","2096","Zero migration","18163.972"
"Haiti","2096","Constant mortality","13348.016"
"Haiti","2096","No change","21736.84"
"Haiti","2096","Momentum","14458.336"
"Haiti","2096","Instant replacement zero migration","17457.35"
"Haiti","2096","Median PI","16236.405"
"Haiti","2096","Upper 80 PI","22726.886"
"Haiti","2096","Lower 80 PI","11718.316"
"Haiti","2096","Upper 95 PI","26917.566"
"Haiti","2096","Lower 95 PI","9838.536"
"Haiti","2095","Medium","16263.977"
"Haiti","2095","High","23303.897"
"Haiti","2095","Low","10893.178"
"Haiti","2095","Constant fertility","25627.746"
"Haiti","2095","Instant replacement","15484.418"
"Haiti","2095","Zero migration","18169.851"
"Haiti","2095","Constant mortality","13431.673"
"Haiti","2095","No change","21590.094"
"Haiti","2095","Momentum","14492.373"
"Haiti","2095","Instant replacement zero migration","17431.311"
"Haiti","2095","Median PI","16263.977"
"Haiti","2095","Upper 80 PI","22618.306"
"Haiti","2095","Lower 80 PI","11805.239"
"Haiti","2095","Upper 95 PI","26727.371"
"Haiti","2095","Lower 95 PI","9929.984"
"Haiti","2094","Medium","16289.215"
"Haiti","2094","High","23163.261"
"Haiti","2094","Low","11013.55"
"Haiti","2094","Constant fertility","25364.036"
"Haiti","2094","Instant replacement","15484.499"
"Haiti","2094","Zero migration","18173.414"
"Haiti","2094","Constant mortality","13513.271"
"Haiti","2094","No change","21444.508"
"Haiti","2094","Momentum","14526.716"
"Haiti","2094","Instant replacement zero migration","17405.706"
"Haiti","2094","Median PI","16289.215"
"Haiti","2094","Upper 80 PI","22482.491"
"Haiti","2094","Lower 80 PI","11891.668"
"Haiti","2094","Upper 95 PI","26571.994"
