"Country or Area","Year(s)","Variant","Value"
"Haiti","2101","Medium",""
"Haiti","2100","Medium","10.1663"
"Haiti","2099","Medium","10.3453"
"Haiti","2098","Medium","10.55"
"Haiti","2097","Medium","10.7463"
"Haiti","2096","Medium","10.9367"
"Haiti","2095","Medium","11.1449"
"Haiti","2094","Medium","11.3749"
"Haiti","2093","Medium","11.5826"
"Haiti","2092","Medium","11.8002"
"Haiti","2091","Medium","12.0302"
"Haiti","2090","Medium","12.2992"
"Haiti","2089","Medium","12.613"
"Haiti","2088","Medium","12.8752"
"Haiti","2087","Medium","13.1402"
"Haiti","2086","Medium","13.4147"
"Haiti","2085","Medium","13.6773"
"Haiti","2084","Medium","13.9739"
"Haiti","2083","Medium","14.2574"
"Haiti","2082","Medium","14.5511"
"Haiti","2081","Medium","14.8291"
"Haiti","2080","Medium","15.136"
"Haiti","2079","Medium","15.4285"
"Haiti","2078","Medium","15.6997"
"Haiti","2077","Medium","15.9934"
"Haiti","2076","Medium","16.2909"
"Haiti","2075","Medium","16.5734"
"Haiti","2074","Medium","17.012"
"Haiti","2073","Medium","17.4349"
"Haiti","2072","Medium","17.8617"
"Haiti","2071","Medium","18.2682"
"Haiti","2070","Medium","18.7117"
"Haiti","2069","Medium","19.1635"
"Haiti","2068","Medium","19.5846"
"Haiti","2067","Medium","20.0636"
"Haiti","2066","Medium","20.5265"
"Haiti","2065","Medium","21.048"
"Haiti","2064","Medium","21.5367"
"Haiti","2063","Medium","22.0294"
"Haiti","2062","Medium","22.4897"
"Haiti","2061","Medium","23.0417"
"Haiti","2060","Medium","23.5861"
"Haiti","2059","Medium","24.1701"
"Haiti","2058","Medium","24.8023"
"Haiti","2057","Medium","25.3464"
"Haiti","2056","Medium","26.0062"
"Haiti","2055","Medium","26.6028"
"Haiti","2054","Medium","27.2798"
"Haiti","2053","Medium","27.905"
"Haiti","2052","Medium","28.645"
"Haiti","2051","Medium","29.3284"
"Haiti","2050","Medium","30.0385"
"Haiti","2049","Medium","30.8064"
"Haiti","2048","Medium","31.5098"
"Haiti","2047","Medium","32.3352"
"Haiti","2046","Medium","33.1479"
"Haiti","2045","Medium","33.9451"
"Haiti","2044","Medium","34.8046"
"Haiti","2043","Medium","35.695"
"Haiti","2042","Medium","36.5753"
"Haiti","2041","Medium","37.4914"
"Haiti","2040","Medium","38.4475"
"Haiti","2039","Medium","39.4665"
"Haiti","2038","Medium","40.3184"
"Haiti","2037","Medium","41.1741"
"Haiti","2036","Medium","42.1208"
"Haiti","2035","Medium","42.9945"
"Haiti","2034","Medium","43.935"
"Haiti","2033","Medium","44.9215"
"Haiti","2032","Medium","45.9393"
"Haiti","2031","Medium","46.9574"
"Haiti","2030","Medium","48.0565"
"Haiti","2029","Medium","49.1717"
"Haiti","2028","Medium","50.3074"
"Haiti","2027","Medium","51.4985"
"Haiti","2026","Medium","52.6952"
"Haiti","2025","Medium","53.9663"
"Haiti","2024","Medium","52.384"
"Haiti","2023","Medium","53.2353"
"Haiti","2022","Medium","56.6748"
"Haiti","2021","Medium","60.1092"
"Haiti","2020","Medium","60.4849"
"Haiti","2019","Medium","62.4275"
"Haiti","2018","Medium","64.0206"
"Haiti","2017","Medium","65.9595"
"Haiti","2016","Medium","68.9669"
"Haiti","2015","Medium","70.1856"
"Haiti","2014","Medium","72.1324"
"Haiti","2013","Medium","74.2621"
"Haiti","2012","Medium","76.5399"
"Haiti","2011","Medium","79.943"
"Haiti","2010","Medium","132.7062"
"Haiti","2009","Medium","81.2645"
"Haiti","2008","Medium","83.896"
"Haiti","2007","Medium","85.259"
"Haiti","2006","Medium","87.1401"
"Haiti","2005","Medium","89.4765"
"Haiti","2004","Medium","100.6066"
"Haiti","2003","Medium","94.7012"
"Haiti","2002","Medium","97.413"
"Haiti","2001","Medium","100.5603"
"Haiti","2000","Medium","103.9985"
"Haiti","1999","Medium","107.6463"
"Haiti","1998","Medium","111.7288"
"Haiti","1997","Medium","115.5775"
"Haiti","1996","Medium","119.9052"
"Haiti","1995","Medium","124.0372"
"Haiti","1994","Medium","129.803"
"Haiti","1993","Medium","132.6087"
"Haiti","1992","Medium","136.875"
"Haiti","1991","Medium","141.0805"
"Haiti","1990","Medium","145.2099"
"Haiti","1989","Medium","149.32"
"Haiti","1988","Medium","153.6129"
"Haiti","1987","Medium","157.8768"
"Haiti","1986","Medium","162.4031"
"Haiti","1985","Medium","166.5849"
"Haiti","1984","Medium","171.2544"
"Haiti","1983","Medium","175.9304"
"Haiti","1982","Medium","180.836"
"Haiti","1981","Medium","185.7633"
"Haiti","1980","Medium","191.0845"
"Haiti","1979","Medium","195.7458"
"Haiti","1978","Medium","200.8754"
"Haiti","1977","Medium","206.1879"
"Haiti","1976","Medium","211.5313"
"Haiti","1975","Medium","216.907"
"Haiti","1974","Medium","222.4398"
"Haiti","1973","Medium","227.9987"
"Haiti","1972","Medium","233.6831"
"Haiti","1971","Medium","238.6703"
"Haiti","1970","Medium","243.7799"
"Haiti","1969","Medium","248.8774"
"Haiti","1968","Medium","253.8133"
"Haiti","1967","Medium","258.6182"
"Haiti","1966","Medium","264.2305"
"Haiti","1965","Medium","267.9012"
"Haiti","1964","Medium","272.6601"
"Haiti","1963","Medium","288.0167"
"Haiti","1962","Medium","281.3058"
"Haiti","1961","Medium","285.6868"
"Haiti","1960","Medium","290.3876"
"Haiti","1959","Medium","295.2533"
"Haiti","1958","Medium","299.9594"
"Haiti","1957","Medium","305.2519"
"Haiti","1956","Medium","310.22"
"Haiti","1955","Medium","319.0809"
"Haiti","1954","Medium","329.8643"
"Haiti","1953","Medium","339.4811"
"Haiti","1952","Medium","350.8527"
"Haiti","1951","Medium","362.8338"
"Haiti","1950","Medium","369.059"

