"Country or Area","Year","Item","Value"
"Jamaica","2021","Final consumption expenditure","2237710001790"
"Jamaica","2021","Household consumption expenditure (including Non-profit institutions serving households)","1901680609070"
"Jamaica","2021","General government final consumption expenditure","336029392719"
"Jamaica","2021","Gross capital formation","496983608595"
"Jamaica","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","490295368597"
"Jamaica","2021","Changes in inventories","6688239998"
"Jamaica","2021","Exports of goods and services","665114109395"
"Jamaica","2021","Imports of goods and services","1096551063215"
"Jamaica","2021","Gross Domestic Product (GDP)","2210218591216"
"Jamaica","2020","Final consumption expenditure","1949112006933"
"Jamaica","2020","Household consumption expenditure (including Non-profit institutions serving households)","1658461797784"
"Jamaica","2020","General government final consumption expenditure","290650209149"
"Jamaica","2020","Gross capital formation","383061540065"
"Jamaica","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","377131302100"
"Jamaica","2020","Changes in inventories","5930237964"
"Jamaica","2020","Exports of goods and services","475313534243"
"Jamaica","2020","Imports of goods and services","828863303913"
"Jamaica","2020","Gross Domestic Product (GDP)","1966928441838"
"Jamaica","2019","Final consumption expenditure","1894521851695"
"Jamaica","2019","Household consumption expenditure (including Non-profit institutions serving households)","1607879600465"
"Jamaica","2019","General government final consumption expenditure","286642251229"
"Jamaica","2019","Gross capital formation","512182701196"
"Jamaica","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","508472695345"
"Jamaica","2019","Changes in inventories","3710005851"
"Jamaica","2019","Exports of goods and services","802725549089"
"Jamaica","2019","Imports of goods and services","1098997557967"
"Jamaica","2019","Gross Domestic Product (GDP)","2110432544013"
"Jamaica","2018","Final consumption expenditure","1815173939561"
"Jamaica","2018","Household consumption expenditure (including Non-profit institutions serving households)","1542752549065"
"Jamaica","2018","General government final consumption expenditure","272421390496"
"Jamaica","2018","Gross capital formation","472582788886"
"Jamaica","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","471961978484"
"Jamaica","2018","Changes in inventories","620810403"
"Jamaica","2018","Exports of goods and services","781786100611"
"Jamaica","2018","Imports of goods and services","1042291741622"
"Jamaica","2018","Gross Domestic Product (GDP)","2027251087435"
"Jamaica","2017","Final consumption expenditure","1737306381539"
"Jamaica","2017","Household consumption expenditure (including Non-profit institutions serving households)","1483699154395"
"Jamaica","2017","General government final consumption expenditure","253607227143"
"Jamaica","2017","Gross capital formation","426984108410"
"Jamaica","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","419435379530"
"Jamaica","2017","Changes in inventories","7548728880"
"Jamaica","2017","Exports of goods and services","656759940944"
"Jamaica","2017","Imports of goods and services","926025381409"
"Jamaica","2017","Gross Domestic Product (GDP)","1895025049483"
"Jamaica","2016","Final consumption expenditure","1611999881236"
"Jamaica","2016","Household consumption expenditure (including Non-profit institutions serving households)","1368281924940"
"Jamaica","2016","General government final consumption expenditure","243717956295"
"Jamaica","2016","Gross capital formation","374878887419"
"Jamaica","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","373186839379"
"Jamaica","2016","Changes in inventories","1692048040"
"Jamaica","2016","Exports of goods and services","560226796896"
"Jamaica","2016","Imports of goods and services","786129931462"
"Jamaica","2016","Gross Domestic Product (GDP)","1760975634088"
"Jamaica","2015","Final consumption expenditure","1575403323611"
"Jamaica","2015","Household consumption expenditure (including Non-profit institutions serving households)","1346102060113"
"Jamaica","2015","General government final consumption expenditure","229301263498"
"Jamaica","2015","Gross capital formation","354372734678"
"Jamaica","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","352095337651"
"Jamaica","2015","Changes in inventories","2277397027"
"Jamaica","2015","Exports of goods and services","496602889351"
"Jamaica","2015","Imports of goods and services","766701668289"
"Jamaica","2015","Gross Domestic Product (GDP)","1659677279352"
"Jamaica","2014","Final consumption expenditure","1538171808555"
"Jamaica","2014","Household consumption expenditure (including Non-profit institutions serving households)","1314313387310"
"Jamaica","2014","General government final consumption expenditure","223858421245"
"Jamaica","2014","Gross capital formation","346523891738"
"Jamaica","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","339502430058"
"Jamaica","2014","Changes in inventories","7021461679"
"Jamaica","2014","Exports of goods and services","481916010123"
"Jamaica","2014","Imports of goods and services","824707970532"
"Jamaica","2014","Gross Domestic Product (GDP)","1541903739884"
"Jamaica","2013","Final consumption expenditure","1444239573715"
"Jamaica","2013","Household consumption expenditure (including Non-profit institutions serving households)","1222259453271"
"Jamaica","2013","General government final consumption expenditure","221980120445"
"Jamaica","2013","Gross capital formation","304461599892"
"Jamaica","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","300554322721"
"Jamaica","2013","Changes in inventories","3907277171"
"Jamaica","2013","Exports of goods and services","437876098088"
"Jamaica","2013","Imports of goods and services","754481049534"
"Jamaica","2013","Gross Domestic Product (GDP)","1432096222162"
"Jamaica","2012","Final consumption expenditure","1336984822694"
"Jamaica","2012","Household consumption expenditure (including Non-profit institutions serving households)","1123083716334"
"Jamaica","2012","General government final consumption expenditure","213901106360"
"Jamaica","2012","Gross capital formation","261947277725"
"Jamaica","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","258093444923"
"Jamaica","2012","Changes in inventories","3853832802"
"Jamaica","2012","Exports of goods and services","396652230347"
"Jamaica","2012","Imports of goods and services","681457857175"
"Jamaica","2012","Gross Domestic Product (GDP)","1314126473591"
"Jamaica","2011","Final consumption expenditure","1261151834508"
"Jamaica","2011","Household consumption expenditure (including Non-profit institutions serving households)","1065060733373"
"Jamaica","2011","General government final consumption expenditure","196091101136"
"Jamaica","2011","Gross capital formation","265961011621"
"Jamaica","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","259833511791"
"Jamaica","2011","Changes in inventories","6127499830"
"Jamaica","2011","Exports of goods and services","376783639452"
"Jamaica","2011","Imports of goods and services","663194506822"
"Jamaica","2011","Gross Domestic Product (GDP)","1240701978760"
"Jamaica","2010","Final consumption expenditure","1130223969826"
"Jamaica","2010","Household consumption expenditure (including Non-profit institutions serving households)","944394853209"
"Jamaica","2010","General government final consumption expenditure","185829116617"
"Jamaica","2010","Gross capital formation","232937276154"
"Jamaica","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","229408242366"
"Jamaica","2010","Changes in inventories","3529033788"
"Jamaica","2010","Exports of goods and services","361227200757"
"Jamaica","2010","Imports of goods and services","571607931175"
"Jamaica","2010","Gross Domestic Product (GDP)","1152780515562"
"Jamaica","2009","Final consumption expenditure","1031969258830"
"Jamaica","2009","Household consumption expenditure (including Non-profit institutions serving households)","855780719011"
"Jamaica","2009","General government final consumption expenditure","176188539819"
"Jamaica","2009","Gross capital formation","224316257233"
"Jamaica","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","222196657071"
"Jamaica","2009","Changes in inventories","2119600162"
"Jamaica","2009","Exports of goods and services","367316816349"
"Jamaica","2009","Imports of goods and services","558285229171"
"Jamaica","2009","Gross Domestic Product (GDP)","1065317103238"
"Jamaica","2008","Final consumption expenditure","1050709621357"
"Jamaica","2008","Household consumption expenditure (including Non-profit institutions serving households)","889064009389"
"Jamaica","2008","General government final consumption expenditure","161645611968"
"Jamaica","2008","Gross capital formation","242883458361"
"Jamaica","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","239066212681"
"Jamaica","2008","Changes in inventories","3817245680"
"Jamaica","2008","Exports of goods and services","418360768402"
"Jamaica","2008","Imports of goods and services","714509617556"
"Jamaica","2008","Gross Domestic Product (GDP)","997444230562"
"Jamaica","2007","Final consumption expenditure","843261760849"
"Jamaica","2007","Household consumption expenditure (including Non-profit institutions serving households)","711413115467"
"Jamaica","2007","General government final consumption expenditure","131848645382"
"Jamaica","2007","Gross capital formation","235323328938"
"Jamaica","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","231391560754"
"Jamaica","2007","Changes in inventories","3931768184"
"Jamaica","2007","Exports of goods and services","351850202739"
"Jamaica","2007","Imports of goods and services","544803451899"
"Jamaica","2007","Gross Domestic Product (GDP)","885631840626"
"Jamaica","2006","Final consumption expenditure","722061044613"
"Jamaica","2006","Household consumption expenditure (including Non-profit institutions serving households)","613118087584"
"Jamaica","2006","General government final consumption expenditure","108942957029"
"Jamaica","2006","Gross capital formation","222927618284"
"Jamaica","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","220128511184"
"Jamaica","2006","Changes in inventories","2799107100"
"Jamaica","2006","Exports of goods and services","314766091391"
"Jamaica","2006","Imports of goods and services","475418254733"
"Jamaica","2006","Gross Domestic Product (GDP)","784336499555"
"Jamaica","2005","Final consumption expenditure","651249587534"
"Jamaica","2005","Household consumption expenditure (including Non-profit institutions serving households)","551731354786"
"Jamaica","2005","General government final consumption expenditure","99518232748"
"Jamaica","2005","Gross capital formation","188670952093"
"Jamaica","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","187220546893"
"Jamaica","2005","Changes in inventories","1450405200"
"Jamaica","2005","Exports of goods and services","247010007931"
"Jamaica","2005","Imports of goods and services","386654967168"
"Jamaica","2005","Gross Domestic Product (GDP)","700275580390"
"Jamaica","2004","Final consumption expenditure","546465457636"
"Jamaica","2004","Household consumption expenditure (including Non-profit institutions serving households)","466231055542"
"Jamaica","2004","General government final consumption expenditure","80234402094"
"Jamaica","2004","Gross capital formation","164800801457"
"Jamaica","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","164172916457"
"Jamaica","2004","Changes in inventories","627885000"
"Jamaica","2004","Exports of goods and services","233771896079"
"Jamaica","2004","Imports of goods and services","322377334232"
"Jamaica","2004","Gross Domestic Product (GDP)","622660820940"
"Jamaica","2003","Final consumption expenditure","482850610882"
"Jamaica","2003","Household consumption expenditure (including Non-profit institutions serving households)","405443855752"
"Jamaica","2003","General government final consumption expenditure","77406755130"
"Jamaica","2003","Gross capital formation","142920561914"
"Jamaica","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","142024406514"
"Jamaica","2003","Changes in inventories","896155400"
"Jamaica","2003","Exports of goods and services","199363850339"
"Jamaica","2003","Imports of goods and services","280624719195"
"Jamaica","2003","Gross Domestic Product (GDP)","544510303939"
"Jamaica","2002","Final consumption expenditure","418723383404"
"Jamaica","2002","Household consumption expenditure (including Non-profit institutions serving households)","349419713328"
"Jamaica","2002","General government final consumption expenditure","69303670076"
"Jamaica","2002","Gross capital formation","128639326815"
"Jamaica","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","127865006515"
"Jamaica","2002","Changes in inventories","774320300"
"Jamaica","2002","Exports of goods and services","154162752892"
"Jamaica","2002","Imports of goods and services","230970830985"
"Jamaica","2002","Gross Domestic Product (GDP)","470554632126"
"Jamaica","2001","Final consumption expenditure","371407164679"
"Jamaica","2001","Household consumption expenditure (including Non-profit institutions serving households)","311110859033"
"Jamaica","2001","General government final consumption expenditure","60296305646"
"Jamaica","2001","Gross capital formation","109454193261"
"Jamaica","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","108849850261"
"Jamaica","2001","Changes in inventories","604343000"
"Jamaica","2001","Exports of goods and services","150408856248"
"Jamaica","2001","Imports of goods and services","208347319385"
"Jamaica","2001","Gross Domestic Product (GDP)","422922894804"
"Jamaica","2000","Final consumption expenditure","342455868810"
"Jamaica","2000","Household consumption expenditure (including Non-profit institutions serving households)","288426571706"
"Jamaica","2000","General government final consumption expenditure","54029297104"
"Jamaica","2000","Gross capital formation","90824098604"
"Jamaica","2000","Gross fixed capital formation (including Acquisitions less disposals of valuables)","89823818804"
"Jamaica","2000","Changes in inventories","1000279800"
