"Country or Area","Year","Item","Value"
"Jamaica","2021","Gross National Income (GNI)","14203940165.5521"
"Jamaica","2020","Gross National Income (GNI)","13355443190.1826"
"Jamaica","2019","Gross National Income (GNI)","15339462931.0733"
"Jamaica","2018","Gross National Income (GNI)","14990793474.3727"
"Jamaica","2017","Gross National Income (GNI)","14306810207.0543"
"Jamaica","2016","Gross National Income (GNI)","13399398433.2583"
"Jamaica","2015","Gross National Income (GNI)","13681029581.9373"
"Jamaica","2014","Gross National Income (GNI)","13533263854.7699"
"Jamaica","2013","Gross National Income (GNI)","13921072973.7312"
"Jamaica","2012","Gross National Income (GNI)","14584059267.6767"
"Jamaica","2011","Gross National Income (GNI)","13926319074.195"
"Jamaica","2010","Gross National Income (GNI)","12726013301.375"
"Jamaica","2009","Gross National Income (GNI)","11452249431.5597"
"Jamaica","2008","Gross National Income (GNI)","13145559807.3047"
"Jamaica","2007","Gross National Income (GNI)","12142334971.2132"
"Jamaica","2006","Gross National Income (GNI)","11315247900.855"
"Jamaica","2005","Gross National Income (GNI)","10567135701.2821"
"Jamaica","2004","Gross National Income (GNI)","9592248249.59312"
"Jamaica","2003","Gross National Income (GNI)","8869996598.74388"
"Jamaica","2002","Gross National Income (GNI)","9101136489.39665"
"Jamaica","2001","Gross National Income (GNI)","8758476995.62464"
"Jamaica","2000","Gross National Income (GNI)","8660928019.7368"
"Jamaica","1999","Gross National Income (GNI)","8505040743"
"Jamaica","1998","Gross National Income (GNI)","8439734610.12312"
"Jamaica","1997","Gross National Income (GNI)","8266510061.80952"
"Jamaica","1996","Gross National Income (GNI)","7221649883.75626"
"Jamaica","1995","Gross National Income (GNI)","6270138980.70074"
"Jamaica","1994","Gross National Income (GNI)","5158527404.51633"
"Jamaica","1993","Gross National Income (GNI)","5303804322.61594"
"Jamaica","1992","Gross National Income (GNI)","3273207541.00003"
"Jamaica","1991","Gross National Income (GNI)","3727701690.55062"
"Jamaica","1990","Gross National Income (GNI)","4203608260.82871"
"Jamaica","1989","Gross National Income (GNI)","4097776144.26197"
"Jamaica","1988","Gross National Income (GNI)","3641569422.30536"
"Jamaica","1987","Gross National Income (GNI)","3061687270.17011"
"Jamaica","1986","Gross National Income (GNI)","2573544995.87084"
"Jamaica","1985","Gross National Income (GNI)","2086205985.06766"
"Jamaica","1984","Gross National Income (GNI)","2554442445.50279"
"Jamaica","1983","Gross National Income (GNI)","4157578435.22149"
"Jamaica","1982","Gross National Income (GNI)","3729283051.00947"
"Jamaica","1981","Gross National Income (GNI)","3352403426.67782"
"Jamaica","1980","Gross National Income (GNI)","2978465562.85349"
"Jamaica","1979","Gross National Income (GNI)","2724179627.55442"
"Jamaica","1978","Gross National Income (GNI)","3022021614.88913"
"Jamaica","1977","Gross National Income (GNI)","3742252531.65253"
"Jamaica","1976","Gross National Income (GNI)","3441839946.53995"
"Jamaica","1975","Gross National Income (GNI)","3432800057.20006"
"Jamaica","1974","Gross National Income (GNI)","2896564249.12977"
"Jamaica","1973","Gross National Income (GNI)","2240892874.64132"
"Jamaica","1972","Gross National Income (GNI)","2181357996.50796"
"Jamaica","1971","Gross National Income (GNI)","1718030204.86812"
"Jamaica","1970","Gross National Income (GNI)","1593878188.27005"

