"Country or Area","Year(s)","Variant","Value"
"Jamaica","2101","Medium",""
"Jamaica","2100","Medium","3.3557"
"Jamaica","2099","Medium","3.3847"
"Jamaica","2098","Medium","3.4098"
"Jamaica","2097","Medium","3.4416"
"Jamaica","2096","Medium","3.4712"
"Jamaica","2095","Medium","3.5037"
"Jamaica","2094","Medium","3.532"
"Jamaica","2093","Medium","3.5668"
"Jamaica","2092","Medium","3.5958"
"Jamaica","2091","Medium","3.6323"
"Jamaica","2090","Medium","3.6619"
"Jamaica","2089","Medium","3.6953"
"Jamaica","2088","Medium","3.7395"
"Jamaica","2087","Medium","3.7832"
"Jamaica","2086","Medium","3.8205"
"Jamaica","2085","Medium","3.8662"
"Jamaica","2084","Medium","3.9066"
"Jamaica","2083","Medium","3.9514"
"Jamaica","2082","Medium","3.992"
"Jamaica","2081","Medium","4.0332"
"Jamaica","2080","Medium","4.0757"
"Jamaica","2079","Medium","4.1166"
"Jamaica","2078","Medium","4.163"
"Jamaica","2077","Medium","4.208"
"Jamaica","2076","Medium","4.2573"
"Jamaica","2075","Medium","4.3056"
"Jamaica","2074","Medium","4.3614"
"Jamaica","2073","Medium","4.4194"
"Jamaica","2072","Medium","4.4714"
"Jamaica","2071","Medium","4.5357"
"Jamaica","2070","Medium","4.5986"
"Jamaica","2069","Medium","4.6518"
"Jamaica","2068","Medium","4.7016"
"Jamaica","2067","Medium","4.7569"
"Jamaica","2066","Medium","4.8169"
"Jamaica","2065","Medium","4.8656"
"Jamaica","2064","Medium","4.9332"
"Jamaica","2063","Medium","4.9893"
"Jamaica","2062","Medium","5.0461"
"Jamaica","2061","Medium","5.1059"
"Jamaica","2060","Medium","5.1497"
"Jamaica","2059","Medium","5.2255"
"Jamaica","2058","Medium","5.3061"
"Jamaica","2057","Medium","5.4121"
"Jamaica","2056","Medium","5.5014"
"Jamaica","2055","Medium","5.6069"
"Jamaica","2054","Medium","5.7029"
"Jamaica","2053","Medium","5.8139"
"Jamaica","2052","Medium","5.9172"
"Jamaica","2051","Medium","6.0323"
"Jamaica","2050","Medium","6.1471"
"Jamaica","2049","Medium","6.2536"
"Jamaica","2048","Medium","6.3666"
"Jamaica","2047","Medium","6.4892"
"Jamaica","2046","Medium","6.6184"
"Jamaica","2045","Medium","6.7314"
"Jamaica","2044","Medium","6.8602"
"Jamaica","2043","Medium","6.9841"
"Jamaica","2042","Medium","7.1317"
"Jamaica","2041","Medium","7.2734"
"Jamaica","2040","Medium","7.4152"
"Jamaica","2039","Medium","7.5756"
"Jamaica","2038","Medium","7.7234"
"Jamaica","2037","Medium","7.8747"
"Jamaica","2036","Medium","8.0275"
"Jamaica","2035","Medium","8.2003"
"Jamaica","2034","Medium","8.3674"
"Jamaica","2033","Medium","8.5355"
"Jamaica","2032","Medium","8.722"
"Jamaica","2031","Medium","8.9068"
"Jamaica","2030","Medium","9.0955"
"Jamaica","2029","Medium","9.2868"
"Jamaica","2028","Medium","9.4898"
