"Country or Area","Year(s)","Variant","Value"
"Jamaica","2100","Medium","897.072"
"Jamaica","2100","High","1781.014"
"Jamaica","2100","Low","358.88"
"Jamaica","2100","Constant fertility","759.029"
"Jamaica","2100","Instant replacement","2225.097"
"Jamaica","2100","Zero migration","1934.555"
"Jamaica","2100","Constant mortality","648.994"
"Jamaica","2100","No change","519.461"
"Jamaica","2100","Momentum","3024.369"
"Jamaica","2100","Instant replacement zero migration","3523.771"
"Jamaica","2100","Median PI","897.072"
"Jamaica","2100","Upper 80 PI","1316.477"
"Jamaica","2100","Lower 80 PI","501.571"
"Jamaica","2100","Upper 95 PI","1545.595"
"Jamaica","2100","Lower 95 PI","349.21"
"Jamaica","2099","Medium","925.931"
"Jamaica","2099","High","1797.012"
"Jamaica","2099","Low","381.613"
"Jamaica","2099","Constant fertility","789.793"
"Jamaica","2099","Instant replacement","2237.394"
"Jamaica","2099","Zero migration","1951.18"
"Jamaica","2099","Constant mortality","674.975"
"Jamaica","2099","No change","546.841"
"Jamaica","2099","Momentum","3025.155"
"Jamaica","2099","Instant replacement zero migration","3516.796"
"Jamaica","2099","Median PI","925.931"
"Jamaica","2099","Upper 80 PI","1342.062"
"Jamaica","2099","Lower 80 PI","529.24"
"Jamaica","2099","Upper 95 PI","1571.273"
"Jamaica","2099","Lower 95 PI","373.129"
"Jamaica","2098","Medium","955.111"
"Jamaica","2098","High","1813.15"
"Jamaica","2098","Low","405.766"
"Jamaica","2098","Constant fertility","820.912"
"Jamaica","2098","Instant replacement","2249.602"
"Jamaica","2098","Zero migration","1968.12"
"Jamaica","2098","Constant mortality","701.324"
"Jamaica","2098","No change","574.656"
"Jamaica","2098","Momentum","3025.671"
"Jamaica","2098","Instant replacement zero migration","3509.82"
"Jamaica","2098","Median PI","955.112"
"Jamaica","2098","Upper 80 PI","1367.911"
"Jamaica","2098","Lower 80 PI","559.997"
"Jamaica","2098","Upper 95 PI","1599.484"
"Jamaica","2098","Lower 95 PI","396.69"
"Jamaica","2097","Medium","984.648"
"Jamaica","2097","High","1829.498"
"Jamaica","2097","Low","431.248"
"Jamaica","2097","Constant fertility","852.413"
"Jamaica","2097","Instant replacement","2261.768"
"Jamaica","2097","Zero migration","1985.428"
"Jamaica","2097","Constant mortality","728.063"
"Jamaica","2097","No change","602.91"
"Jamaica","2097","Momentum","3025.939"
"Jamaica","2097","Instant replacement zero migration","3502.896"
"Jamaica","2097","Median PI","984.648"
"Jamaica","2097","Upper 80 PI","1394.557"
"Jamaica","2097","Lower 80 PI","592.777"
"Jamaica","2097","Upper 95 PI","1625.189"
"Jamaica","2097","Lower 95 PI","421.277"
"Jamaica","2096","Medium","1014.545"
"Jamaica","2096","High","1846.063"
"Jamaica","2096","Low","458.055"
"Jamaica","2096","Constant fertility","884.323"
"Jamaica","2096","Instant replacement","2273.945"
"Jamaica","2096","Zero migration","2003.076"
"Jamaica","2096","Constant mortality","755.194"
"Jamaica","2096","No change","631.62"
"Jamaica","2096","Momentum","3026.005"
"Jamaica","2096","Instant replacement zero migration","3496.066"
"Jamaica","2096","Median PI","1014.545"
"Jamaica","2096","Upper 80 PI","1421.318"
"Jamaica","2096","Lower 80 PI","625.522"
"Jamaica","2096","Upper 95 PI","1645.478"
"Jamaica","2096","Lower 95 PI","447.406"
"Jamaica","2095","Medium","1044.78"
"Jamaica","2095","High","1862.803"
"Jamaica","2095","Low","486.178"
"Jamaica","2095","Constant fertility","916.63"
"Jamaica","2095","Instant replacement","2286.149"
"Jamaica","2095","Zero migration","2020.984"
"Jamaica","2095","Constant mortality","782.716"
"Jamaica","2095","No change","660.802"
"Jamaica","2095","Momentum","3025.905"
"Jamaica","2095","Instant replacement zero migration","3489.343"
"Jamaica","2095","Median PI","1044.78"
"Jamaica","2095","Upper 80 PI","1448.117"
"Jamaica","2095","Lower 80 PI","657.022"
"Jamaica","2095","Upper 95 PI","1662.794"
"Jamaica","2095","Lower 95 PI","475.091"
"Jamaica","2094","Medium","1075.374"
"Jamaica","2094","High","1879.803"
"Jamaica","2094","Low","515.649"
"Jamaica","2094","Constant fertility","949.325"
"Jamaica","2094","Instant replacement","2298.416"
"Jamaica","2094","Zero migration","2039.216"
"Jamaica","2094","Constant mortality","810.66"
"Jamaica","2094","No change","690.466"
"Jamaica","2094","Momentum","3025.69"
"Jamaica","2094","Instant replacement zero migration","3482.776"
"Jamaica","2094","Median PI","1075.374"
"Jamaica","2094","Upper 80 PI","1474.672"
"Jamaica","2094","Lower 80 PI","688.174"
"Jamaica","2094","Upper 95 PI","1683.855"
"Jamaica","2094","Lower 95 PI","503.326"
"Jamaica","2093","Medium","1106.361"
"Jamaica","2093","High","1897.141"
"Jamaica","2093","Low","546.664"
"Jamaica","2093","Constant fertility","982.442"
"Jamaica","2093","Instant replacement","2310.814"
"Jamaica","2093","Zero migration","2057.838"
"Jamaica","2093","Constant mortality","839.051"
"Jamaica","2093","No change","720.621"
"Jamaica","2093","Momentum","3025.422"
"Jamaica","2093","Instant replacement zero migration","3476.427"
"Jamaica","2093","Median PI","1106.361"
"Jamaica","2093","Upper 80 PI","1499.902"
"Jamaica","2093","Lower 80 PI","719.319"
"Jamaica","2093","Upper 95 PI","1708.768"
"Jamaica","2093","Lower 95 PI","532.688"
"Jamaica","2092","Medium","1137.77"
"Jamaica","2092","High","1914.868"
"Jamaica","2092","Low","579.428"
"Jamaica","2092","Constant fertility","1015.986"
"Jamaica","2092","Instant replacement","2323.392"
"Jamaica","2092","Zero migration","2076.856"
"Jamaica","2092","Constant mortality","867.91"
"Jamaica","2092","No change","751.279"
"Jamaica","2092","Momentum","3025.166"
"Jamaica","2092","Instant replacement zero migration","3470.335"
"Jamaica","2092","Median PI","1137.77"
"Jamaica","2092","Upper 80 PI","1526.364"
"Jamaica","2092","Lower 80 PI","753.013"
"Jamaica","2092","Upper 95 PI","1734.209"
"Jamaica","2092","Lower 95 PI","564.646"
"Jamaica","2091","Medium","1169.596"
"Jamaica","2091","High","1933.012"
"Jamaica","2091","Low","614.345"
"Jamaica","2091","Constant fertility","1049.953"
"Jamaica","2091","Instant replacement","2336.195"
"Jamaica","2091","Zero migration","2096.273"
"Jamaica","2091","Constant mortality","897.245"
"Jamaica","2091","No change","782.456"
"Jamaica","2091","Momentum","3024.985"
"Jamaica","2091","Instant replacement zero migration","3464.557"
"Jamaica","2091","Median PI","1169.596"
"Jamaica","2091","Upper 80 PI","1555.544"
"Jamaica","2091","Lower 80 PI","789.965"
"Jamaica","2091","Upper 95 PI","1758.826"
"Jamaica","2091","Lower 95 PI","598.464"
"Jamaica","2090","Medium","1201.826"
"Jamaica","2090","High","1951.565"
"Jamaica","2090","Low","651.269"
"Jamaica","2090","Constant fertility","1084.36"
"Jamaica","2090","Instant replacement","2349.274"
"Jamaica","2090","Zero migration","2116.052"
"Jamaica","2090","Constant mortality","927.07"
"Jamaica","2090","No change","814.158"
"Jamaica","2090","Momentum","3024.932"
"Jamaica","2090","Instant replacement zero migration","3459.13"
"Jamaica","2090","Median PI","1201.826"
"Jamaica","2090","Upper 80 PI","1583.475"
"Jamaica","2090","Lower 80 PI","824.994"
"Jamaica","2090","Upper 95 PI","1782.499"
"Jamaica","2090","Lower 95 PI","631.345"
"Jamaica","2089","Medium","1234.458"
"Jamaica","2089","High","1970.536"
"Jamaica","2089","Low","689.545"
"Jamaica","2089","Constant fertility","1119.19"
"Jamaica","2089","Instant replacement","2362.664"
"Jamaica","2089","Zero migration","2136.162"
"Jamaica","2089","Constant mortality","957.394"
"Jamaica","2089","No change","846.399"
"Jamaica","2089","Momentum","3025.073"
"Jamaica","2089","Instant replacement zero migration","3454.064"
"Jamaica","2089","Median PI","1234.458"
"Jamaica","2089","Upper 80 PI","1611.487"
"Jamaica","2089","Lower 80 PI","859.21"
"Jamaica","2089","Upper 95 PI","1807.186"
"Jamaica","2089","Lower 95 PI","665.285"
"Jamaica","2088","Medium","1267.485"
"Jamaica","2088","High","1989.941"
"Jamaica","2088","Low","728.71"
"Jamaica","2088","Constant fertility","1154.438"
"Jamaica","2088","Instant replacement","2376.398"
"Jamaica","2088","Zero migration","2156.59"
"Jamaica","2088","Constant mortality","988.226"
"Jamaica","2088","No change","879.192"
"Jamaica","2088","Momentum","3025.473"
"Jamaica","2088","Instant replacement zero migration","3449.398"
"Jamaica","2088","Median PI","1267.485"
"Jamaica","2088","Upper 80 PI","1641.054"
"Jamaica","2088","Lower 80 PI","895.364"
"Jamaica","2088","Upper 95 PI","1832.932"
"Jamaica","2088","Lower 95 PI","701.974"
"Jamaica","2087","Medium","1300.928"
"Jamaica","2087","High","2009.849"
"Jamaica","2087","Low","768.383"
"Jamaica","2087","Constant fertility","1190.099"
"Jamaica","2087","Instant replacement","2390.512"
"Jamaica","2087","Zero migration","2177.403"
"Jamaica","2087","Constant mortality","1019.611"
"Jamaica","2087","No change","912.551"
"Jamaica","2087","Momentum","3026.193"
"Jamaica","2087","Instant replacement zero migration","3445.175"
"Jamaica","2087","Median PI","1300.928"
"Jamaica","2087","Upper 80 PI","1669.175"
"Jamaica","2087","Lower 80 PI","932.333"
"Jamaica","2087","Upper 95 PI","1861.729"
"Jamaica","2087","Lower 95 PI","741.142"
"Jamaica","2086","Medium","1334.767"
"Jamaica","2086","High","2030.243"
"Jamaica","2086","Low","808.552"
"Jamaica","2086","Constant fertility","1226.154"
"Jamaica","2086","Instant replacement","2405.035"
"Jamaica","2086","Zero migration","2198.557"
"Jamaica","2086","Constant mortality","1051.556"
"Jamaica","2086","No change","946.486"
"Jamaica","2086","Momentum","3027.292"
"Jamaica","2086","Instant replacement zero migration","3441.401"
"Jamaica","2086","Median PI","1334.767"
"Jamaica","2086","Upper 80 PI","1697.634"
"Jamaica","2086","Lower 80 PI","970.072"
"Jamaica","2086","Upper 95 PI","1893.4"
"Jamaica","2086","Lower 95 PI","780.572"
"Jamaica","2085","Medium","1368.967"
"Jamaica","2085","High","2051.089"
"Jamaica","2085","Low","849.179"
"Jamaica","2085","Constant fertility","1262.575"
"Jamaica","2085","Instant replacement","2419.979"
"Jamaica","2085","Zero migration","2219.998"
"Jamaica","2085","Constant mortality","1084.072"
"Jamaica","2085","No change","981.01"
"Jamaica","2085","Momentum","3028.806"
"Jamaica","2085","Instant replacement zero migration","3438.074"
"Jamaica","2085","Median PI","1368.967"
"Jamaica","2085","Upper 80 PI","1727.576"
"Jamaica","2085","Lower 80 PI","1006.51"
"Jamaica","2085","Upper 95 PI","1922.307"
"Jamaica","2085","Lower 95 PI","818.524"
"Jamaica","2084","Medium","1403.504"
"Jamaica","2084","High","2072.378"
"Jamaica","2084","Low","890.241"
"Jamaica","2084","Constant fertility","1299.344"
"Jamaica","2084","Instant replacement","2435.354"
"Jamaica","2084","Zero migration","2241.712"
"Jamaica","2084","Constant mortality","1117.171"
"Jamaica","2084","No change","1016.132"
"Jamaica","2084","Momentum","3030.783"
"Jamaica","2084","Instant replacement zero migration","3435.211"
"Jamaica","2084","Median PI","1403.504"
"Jamaica","2084","Upper 80 PI","1756.906"
"Jamaica","2084","Lower 80 PI","1042.709"
"Jamaica","2084","Upper 95 PI","1948.243"
"Jamaica","2084","Lower 95 PI","856.473"
"Jamaica","2083","Medium","1438.322"
"Jamaica","2083","High","2094.043"
"Jamaica","2083","Low","931.698"
"Jamaica","2083","Constant fertility","1336.416"
"Jamaica","2083","Instant replacement","2451.154"
"Jamaica","2083","Zero migration","2263.609"
"Jamaica","2083","Constant mortality","1150.82"
"Jamaica","2083","No change","1051.845"
"Jamaica","2083","Momentum","3033.267"
"Jamaica","2083","Instant replacement zero migration","3432.801"
"Jamaica","2083","Median PI","1438.322"
"Jamaica","2083","Upper 80 PI","1785.153"
"Jamaica","2083","Lower 80 PI","1078.884"
"Jamaica","2083","Upper 95 PI","1971.819"
"Jamaica","2083","Lower 95 PI","895.029"
"Jamaica","2082","Medium","1473.404"
"Jamaica","2082","High","2116.06"
"Jamaica","2082","Low","973.512"
"Jamaica","2082","Constant fertility","1373.761"
"Jamaica","2082","Instant replacement","2467.368"
"Jamaica","2082","Zero migration","2285.684"
"Jamaica","2082","Constant mortality","1185.039"
"Jamaica","2082","No change","1088.156"
"Jamaica","2082","Momentum","3036.276"
"Jamaica","2082","Instant replacement zero migration","3430.823"
"Jamaica","2082","Median PI","1473.404"
"Jamaica","2082","Upper 80 PI","1815.938"
"Jamaica","2082","Lower 80 PI","1117.976"
"Jamaica","2082","Upper 95 PI","1996.356"
"Jamaica","2082","Lower 95 PI","934.882"
"Jamaica","2081","Medium","1508.721"
"Jamaica","2081","High","2138.399"
"Jamaica","2081","Low","1015.659"
"Jamaica","2081","Constant fertility","1411.353"
"Jamaica","2081","Instant replacement","2483.981"
"Jamaica","2081","Zero migration","2307.901"
"Jamaica","2081","Constant mortality","1219.832"
"Jamaica","2081","No change","1125.059"
"Jamaica","2081","Momentum","3039.816"
"Jamaica","2081","Instant replacement zero migration","3429.248"
"Jamaica","2081","Median PI","1508.721"
"Jamaica","2081","Upper 80 PI","1848.405"
"Jamaica","2081","Lower 80 PI","1158.927"
"Jamaica","2081","Upper 95 PI","2023.085"
"Jamaica","2081","Lower 95 PI","974.431"
"Jamaica","2080","Medium","1544.193"
"Jamaica","2080","High","2160.974"
"Jamaica","2080","Low","1058.082"
"Jamaica","2080","Constant fertility","1449.127"
"Jamaica","2080","Instant replacement","2500.943"
"Jamaica","2080","Zero migration","2330.175"
"Jamaica","2080","Constant mortality","1255.155"
"Jamaica","2080","No change","1162.527"
"Jamaica","2080","Momentum","3043.883"
"Jamaica","2080","Instant replacement zero migration","3428.026"
"Jamaica","2080","Median PI","1544.193"
"Jamaica","2080","Upper 80 PI","1879.268"
"Jamaica","2080","Lower 80 PI","1197.889"
"Jamaica","2080","Upper 95 PI","2049.505"
"Jamaica","2080","Lower 95 PI","1015.849"
"Jamaica","2079","Medium","1579.784"
"Jamaica","2079","High","2183.742"
"Jamaica","2079","Low","1100.73"
"Jamaica","2079","Constant fertility","1487.03"
"Jamaica","2079","Instant replacement","2518.2"
"Jamaica","2079","Zero migration","2352.477"
"Jamaica","2079","Constant mortality","1291.006"
"Jamaica","2079","No change","1200.543"
"Jamaica","2079","Momentum","3048.452"
"Jamaica","2079","Instant replacement zero migration","3427.101"
"Jamaica","2079","Median PI","1579.784"
"Jamaica","2079","Upper 80 PI","1909.603"
"Jamaica","2079","Lower 80 PI","1235.906"
"Jamaica","2079","Upper 95 PI","2074.159"
"Jamaica","2079","Lower 95 PI","1059.012"
"Jamaica","2078","Medium","1615.499"
"Jamaica","2078","High","2206.71"
"Jamaica","2078","Low","1143.588"
"Jamaica","2078","Constant fertility","1525.037"
"Jamaica","2078","Instant replacement","2535.713"
"Jamaica","2078","Zero migration","2374.829"
"Jamaica","2078","Constant mortality","1327.38"
"Jamaica","2078","No change","1239.073"
"Jamaica","2078","Momentum","3053.483"
"Jamaica","2078","Instant replacement zero migration","3426.432"
"Jamaica","2078","Median PI","1615.499"
"Jamaica","2078","Upper 80 PI","1941.319"
"Jamaica","2078","Lower 80 PI","1273.46"
"Jamaica","2078","Upper 95 PI","2098.033"
"Jamaica","2078","Lower 95 PI","1102.502"
"Jamaica","2077","Medium","1651.264"
"Jamaica","2077","High","2229.776"
"Jamaica","2077","Low","1186.613"
"Jamaica","2077","Constant fertility","1563.105"
