"Country or Area","Year(s)","Variant","Value"
"Bahamas","2101","Medium",""
"Bahamas","2100","Medium","85.189"
"Bahamas","2099","Medium","85.069"
"Bahamas","2098","Medium","84.956"
"Bahamas","2097","Medium","84.8358"
"Bahamas","2096","Medium","84.7218"
"Bahamas","2095","Medium","84.603"
"Bahamas","2094","Medium","84.4813"
"Bahamas","2093","Medium","84.3556"
"Bahamas","2092","Medium","84.2408"
"Bahamas","2091","Medium","84.1139"
"Bahamas","2090","Medium","83.9907"
"Bahamas","2089","Medium","83.8678"
"Bahamas","2088","Medium","83.7435"
"Bahamas","2087","Medium","83.6111"
"Bahamas","2086","Medium","83.4846"
"Bahamas","2085","Medium","83.3651"
"Bahamas","2084","Medium","83.2326"
"Bahamas","2083","Medium","83.107"
"Bahamas","2082","Medium","82.9729"
"Bahamas","2081","Medium","82.8471"
"Bahamas","2080","Medium","82.7097"
"Bahamas","2079","Medium","82.5792"
"Bahamas","2078","Medium","82.4423"
"Bahamas","2077","Medium","82.302"
"Bahamas","2076","Medium","82.1625"
"Bahamas","2075","Medium","82.0258"
"Bahamas","2074","Medium","81.8822"
"Bahamas","2073","Medium","81.7412"
"Bahamas","2072","Medium","81.597"
"Bahamas","2071","Medium","81.457"
"Bahamas","2070","Medium","81.3102"
"Bahamas","2069","Medium","81.1709"
"Bahamas","2068","Medium","81.0216"
"Bahamas","2067","Medium","80.8745"
"Bahamas","2066","Medium","80.7244"
"Bahamas","2065","Medium","80.578"
"Bahamas","2064","Medium","80.4312"
"Bahamas","2063","Medium","80.2773"
"Bahamas","2062","Medium","80.1287"
"Bahamas","2061","Medium","79.9801"
"Bahamas","2060","Medium","79.8275"
"Bahamas","2059","Medium","79.6782"
"Bahamas","2058","Medium","79.5247"
"Bahamas","2057","Medium","79.3801"
"Bahamas","2056","Medium","79.2314"
"Bahamas","2055","Medium","79.0804"
"Bahamas","2054","Medium","78.9305"
"Bahamas","2053","Medium","78.7823"
"Bahamas","2052","Medium","78.6395"
"Bahamas","2051","Medium","78.4902"
"Bahamas","2050","Medium","78.3419"
"Bahamas","2049","Medium","78.201"
"Bahamas","2048","Medium","78.0509"
"Bahamas","2047","Medium","77.9012"
"Bahamas","2046","Medium","77.7508"
"Bahamas","2045","Medium","77.6083"
"Bahamas","2044","Medium","77.4625"
"Bahamas","2043","Medium","77.3203"
"Bahamas","2042","Medium","77.1748"
"Bahamas","2041","Medium","77.0281"
"Bahamas","2040","Medium","76.8822"
"Bahamas","2039","Medium","76.7412"
"Bahamas","2038","Medium","76.5991"
"Bahamas","2037","Medium","76.4572"
"Bahamas","2036","Medium","76.3093"
"Bahamas","2035","Medium","76.1734"
"Bahamas","2034","Medium","76.0299"
"Bahamas","2033","Medium","75.8839"
"Bahamas","2032","Medium","75.7444"
"Bahamas","2031","Medium","75.6053"
"Bahamas","2030","Medium","75.4635"
"Bahamas","2029","Medium","75.319"
"Bahamas","2028","Medium","75.1795"
"Bahamas","2027","Medium","75.0405"
"Bahamas","2026","Medium","74.9047"
"Bahamas","2025","Medium","74.7708"
"Bahamas","2024","Medium","74.6285"
"Bahamas","2023","Medium","74.4924"
"Bahamas","2022","Medium","74.3579"
"Bahamas","2021","Medium","71.5983"
"Bahamas","2020","Medium","72.6766"
"Bahamas","2019","Medium","71.205"
"Bahamas","2018","Medium","73.8057"
"Bahamas","2017","Medium","73.6317"
"Bahamas","2016","Medium","73.5368"
"Bahamas","2015","Medium","73.104"
"Bahamas","2014","Medium","73.3658"
"Bahamas","2013","Medium","73.0237"
"Bahamas","2012","Medium","72.7528"
"Bahamas","2011","Medium","72.5638"
"Bahamas","2010","Medium","72.7314"
"Bahamas","2009","Medium","72.5794"
"Bahamas","2008","Medium","72.6671"
"Bahamas","2007","Medium","72.6785"
"Bahamas","2006","Medium","72.855"
"Bahamas","2005","Medium","72.7654"
"Bahamas","2004","Medium","72.478"
"Bahamas","2003","Medium","72.402"
"Bahamas","2002","Medium","72.2316"
"Bahamas","2001","Medium","72.1101"
"Bahamas","2000","Medium","72.0411"
"Bahamas","1999","Medium","71.7709"
"Bahamas","1998","Medium","71.4558"
"Bahamas","1997","Medium","71.0541"
"Bahamas","1996","Medium","70.7101"
"Bahamas","1995","Medium","70.7628"
"Bahamas","1994","Medium","70.8507"
"Bahamas","1993","Medium","70.6559"
"Bahamas","1992","Medium","70.6679"
"Bahamas","1991","Medium","69.6157"
"Bahamas","1990","Medium","70.1331"
"Bahamas","1989","Medium","69.5977"
"Bahamas","1988","Medium","69.2154"
"Bahamas","1987","Medium","68.9239"
"Bahamas","1986","Medium","69.2853"
"Bahamas","1985","Medium","69.2569"
"Bahamas","1984","Medium","69.3512"
"Bahamas","1983","Medium","69.1611"
"Bahamas","1982","Medium","68.4363"
"Bahamas","1981","Medium","67.7459"
"Bahamas","1980","Medium","67.5211"
"Bahamas","1979","Medium","67.3658"
"Bahamas","1978","Medium","67.5621"
"Bahamas","1977","Medium","67.8799"
"Bahamas","1976","Medium","67.8401"
"Bahamas","1975","Medium","67.2214"
"Bahamas","1974","Medium","67.0012"
"Bahamas","1973","Medium","66.4876"
"Bahamas","1972","Medium","66.4133"
"Bahamas","1971","Medium","66.1507"
"Bahamas","1970","Medium","65.9258"
"Bahamas","1969","Medium","65.6463"
"Bahamas","1968","Medium","65.3281"
"Bahamas","1967","Medium","64.9485"
"Bahamas","1966","Medium","64.6593"
"Bahamas","1965","Medium","64.3625"
"Bahamas","1964","Medium","64.0497"
"Bahamas","1963","Medium","63.7319"
"Bahamas","1962","Medium","63.4327"
"Bahamas","1961","Medium","63.1855"
"Bahamas","1960","Medium","62.8956"
"Bahamas","1959","Medium","62.599"
"Bahamas","1958","Medium","62.3428"
"Bahamas","1957","Medium","62.0704"
"Bahamas","1956","Medium","61.8379"
"Bahamas","1955","Medium","61.5814"
"Bahamas","1954","Medium","61.3705"
"Bahamas","1953","Medium","61.1012"
"Bahamas","1952","Medium","60.776"
"Bahamas","1951","Medium","60.3931"
"Bahamas","1950","Medium","60.0029"

