"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes","Value Footnotes"
"Bahamas","2007","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","14.615","1,2","1,2"
"Bahamas","2007","Men","Total coverage","Labour force survey","# 0","Unemployed","6.445","1,2","1,2"
"Bahamas","2007","Women","Total coverage","Labour force survey","# 0","Unemployed","8.17","1,2","1,2"
"Bahamas","2007","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","7.9","1,2","1,2"
"Bahamas","2007","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","6.7","1,2","1,2"
"Bahamas","2007","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","9.1","1,2","1,2"
"Bahamas","2006","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","13.83","1,2,3","1,2,3"
"Bahamas","2006","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","11.89","1,2,3","1,2,3"
"Bahamas","2006","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","1.94","1,2,3","1,2,3"
"Bahamas","2006","Men","Total coverage","Labour force survey","# 0","First job seekers","0.44","1,2,3","1,2,3"
"Bahamas","2006","Men","Total coverage","Labour force survey","# 0","Previously employed","5.935","1,2,3","1,2,3"
"Bahamas","2006","Men","Total coverage","Labour force survey","# 0","Unemployed","6.375","1,2,3","1,2,3"
"Bahamas","2006","Women","Total coverage","Labour force survey","# 0","Unemployed","7.455","1,2,3","1,2,3"
"Bahamas","2006","Women","Total coverage","Labour force survey","# 0","Previously employed","5.955","1,2,3","1,2,3"
"Bahamas","2006","Women","Total coverage","Labour force survey","# 0","First job seekers","1.5","1,2,3","1,2,3"
"Bahamas","2006","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","7.6","1,2,3","1,2,3"
"Bahamas","2006","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","6.9","1,2,3","1,2,3"
"Bahamas","2006","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","8.4","1,2,3","1,2,3"
"Bahamas","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","18.175","1,2","1,2"
"Bahamas","2005","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","3.205","1,2","1,2"
"Bahamas","2005","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","14.27","1,2","1,2"
"Bahamas","2005","Men","Total coverage","Labour force survey","# 0","Previously employed","7.355","1,2","1,2"
"Bahamas","2005","Men","Total coverage","Labour force survey","# 0","First job seekers","1.02","1,2","1,2"
"Bahamas","2005","Men","Total coverage","Labour force survey","# 0","Unemployed","8.375","1,2","1,2"
"Bahamas","2005","Women","Total coverage","Labour force survey","# 0","Unemployed","9.8","1,2","1,2"
"Bahamas","2005","Women","Total coverage","Labour force survey","# 0","First job seekers","2.185","1,2","1,2"
"Bahamas","2005","Women","Total coverage","Labour force survey","# 0","Previously employed","7.615","1,2","1,2"
"Bahamas","2005","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","10.2","1,2","1,2"
"Bahamas","2005","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","9.2","1,2","1,2"
"Bahamas","2005","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","11.2","1,2","1,2"
"Bahamas","2004","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","17.99","1,2","1,2"
"Bahamas","2004","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","13.665","1,2","1,2"
"Bahamas","2004","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","4.325","1,2","1,2"
"Bahamas","2004","Men","Total coverage","Labour force survey","# 0","First job seekers","1.25","1,2","1,2"
"Bahamas","2004","Men","Total coverage","Labour force survey","# 0","Previously employed","7.695","1,2","1,2"
"Bahamas","2004","Men","Total coverage","Labour force survey","# 0","Unemployed","8.495","1,2","1,2"
"Bahamas","2004","Women","Total coverage","Labour force survey","# 0","Unemployed","9.495","1,2","1,2"
"Bahamas","2004","Women","Total coverage","Labour force survey","# 0","Previously employed","6.42","1,2","1,2"
"Bahamas","2004","Women","Total coverage","Labour force survey","# 0","First job seekers","3.075","1,2","1,2"
"Bahamas","2004","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","10.2","1,2","1,2"
"Bahamas","2004","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","9.4","1,2","1,2"
"Bahamas","2004","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","11","1,2","1,2"
"Bahamas","2003","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","18.831","1,2","1,2"
"Bahamas","2003","Total men and women","Total coverage","Labour force survey","# 0","Previously employed","15.396","1,2","1,2"
"Bahamas","2003","Total men and women","Total coverage","Labour force survey","# 0","First job seekers","3.436","1,2","1,2"
"Bahamas","2003","Men","Total coverage","Labour force survey","# 0","First job seekers","0.978","1,2","1,2"
"Bahamas","2003","Men","Total coverage","Labour force survey","# 0","Previously employed","7.802","1,2","1,2"
"Bahamas","2003","Men","Total coverage","Labour force survey","# 0","Unemployed","8.78","1,2","1,2"
"Bahamas","2003","Women","Total coverage","Labour force survey","# 0","Unemployed","10.051","1,2","1,2"
"Bahamas","2003","Women","Total coverage","Labour force survey","# 0","Previously employed","7.593","1,2","1,2"
"Bahamas","2003","Women","Total coverage","Labour force survey","# 0","First job seekers","2.458","1,2","1,2"
"Bahamas","2003","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","10.8","1,2","1,2"
"Bahamas","2003","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","10","1,2","1,2"
