"Country or Area","Year(s)","Variant","Value"
"Bahamas","2101","Medium",""
"Bahamas","2100","Medium","2.3092"
"Bahamas","2099","Medium","2.34"
"Bahamas","2098","Medium","2.3708"
"Bahamas","2097","Medium","2.4041"
"Bahamas","2096","Medium","2.4363"
"Bahamas","2095","Medium","2.4684"
"Bahamas","2094","Medium","2.5039"
"Bahamas","2093","Medium","2.538"
"Bahamas","2092","Medium","2.5728"
"Bahamas","2091","Medium","2.6128"
"Bahamas","2090","Medium","2.6483"
"Bahamas","2089","Medium","2.6854"
"Bahamas","2088","Medium","2.724"
"Bahamas","2087","Medium","2.765"
"Bahamas","2086","Medium","2.8042"
"Bahamas","2085","Medium","2.8429"
"Bahamas","2084","Medium","2.8846"
"Bahamas","2083","Medium","2.9259"
"Bahamas","2082","Medium","2.9711"
"Bahamas","2081","Medium","3.0112"
"Bahamas","2080","Medium","3.0628"
"Bahamas","2079","Medium","3.109"
"Bahamas","2078","Medium","3.1609"
"Bahamas","2077","Medium","3.2168"
"Bahamas","2076","Medium","3.2791"
"Bahamas","2075","Medium","3.3357"
"Bahamas","2074","Medium","3.4009"
"Bahamas","2073","Medium","3.4606"
"Bahamas","2072","Medium","3.5278"
"Bahamas","2071","Medium","3.5913"
"Bahamas","2070","Medium","3.6579"
"Bahamas","2069","Medium","3.7253"
"Bahamas","2068","Medium","3.7931"
"Bahamas","2067","Medium","3.8668"
"Bahamas","2066","Medium","3.9401"
"Bahamas","2065","Medium","4.013"
"Bahamas","2064","Medium","4.09"
"Bahamas","2063","Medium","4.1728"
"Bahamas","2062","Medium","4.2581"
"Bahamas","2061","Medium","4.3417"
"Bahamas","2060","Medium","4.4254"
"Bahamas","2059","Medium","4.5123"
"Bahamas","2058","Medium","4.6038"
"Bahamas","2057","Medium","4.6901"
"Bahamas","2056","Medium","4.7766"
"Bahamas","2055","Medium","4.8698"
"Bahamas","2054","Medium","4.9621"
"Bahamas","2053","Medium","5.0555"
"Bahamas","2052","Medium","5.1436"
"Bahamas","2051","Medium","5.2394"
"Bahamas","2050","Medium","5.3358"
"Bahamas","2049","Medium","5.4326"
"Bahamas","2048","Medium","5.5625"
"Bahamas","2047","Medium","5.69"
"Bahamas","2046","Medium","5.8286"
"Bahamas","2045","Medium","5.958"
"Bahamas","2044","Medium","6.0972"
"Bahamas","2043","Medium","6.2276"
"Bahamas","2042","Medium","6.3668"
"Bahamas","2041","Medium","6.5048"
"Bahamas","2040","Medium","6.6571"
"Bahamas","2039","Medium","6.7941"
"Bahamas","2038","Medium","6.9441"
"Bahamas","2037","Medium","7.1076"
"Bahamas","2036","Medium","7.2892"
"Bahamas","2035","Medium","7.4586"
"Bahamas","2034","Medium","7.6423"
"Bahamas","2033","Medium","7.8344"
"Bahamas","2032","Medium","8.0213"
"Bahamas","2031","Medium","8.2195"
"Bahamas","2030","Medium","8.4226"
"Bahamas","2029","Medium","8.6266"
"Bahamas","2028","Medium","8.832"
"Bahamas","2027","Medium","9.0253"
"Bahamas","2026","Medium","9.2382"
"Bahamas","2025","Medium","9.4464"
"Bahamas","2024","Medium","9.6655"
"Bahamas","2023","Medium","9.885"
"Bahamas","2022","Medium","10.109"
"Bahamas","2021","Medium","10.2547"
"Bahamas","2020","Medium","10.5803"
"Bahamas","2019","Medium","14.5604"
"Bahamas","2018","Medium","11.1975"
"Bahamas","2017","Medium","11.4946"
"Bahamas","2016","Medium","11.7776"
"Bahamas","2015","Medium","12.4057"
"Bahamas","2014","Medium","12.3008"
"Bahamas","2013","Medium","12.5507"
"Bahamas","2012","Medium","12.8248"
"Bahamas","2011","Medium","13.0785"
"Bahamas","2010","Medium","13.369"
"Bahamas","2009","Medium","13.6513"
"Bahamas","2008","Medium","13.926"
"Bahamas","2007","Medium","14.1806"
"Bahamas","2006","Medium","14.352"
"Bahamas","2005","Medium","14.4529"
"Bahamas","2004","Medium","14.5835"
"Bahamas","2003","Medium","14.3404"
"Bahamas","2002","Medium","14.1877"
"Bahamas","2001","Medium","14.0429"
"Bahamas","2000","Medium","13.9564"
"Bahamas","1999","Medium","14.0072"
"Bahamas","1998","Medium","14.2021"
"Bahamas","1997","Medium","14.5943"
"Bahamas","1996","Medium","15.1384"
"Bahamas","1995","Medium","15.7984"
"Bahamas","1994","Medium","16.538"
"Bahamas","1993","Medium","17.3368"
"Bahamas","1992","Medium","18.2287"
"Bahamas","1991","Medium","19.0195"
"Bahamas","1990","Medium","19.9074"
"Bahamas","1989","Medium","20.7963"
"Bahamas","1988","Medium","21.6422"
"Bahamas","1987","Medium","22.4035"
"Bahamas","1986","Medium","22.9979"
"Bahamas","1985","Medium","23.3974"
"Bahamas","1984","Medium","23.8755"
"Bahamas","1983","Medium","24.4355"
"Bahamas","1982","Medium","25.0639"
"Bahamas","1981","Medium","25.751"
"Bahamas","1980","Medium","26.4222"
"Bahamas","1979","Medium","27.1524"
"Bahamas","1978","Medium","27.8103"
"Bahamas","1977","Medium","28.384"
"Bahamas","1976","Medium","28.9234"
"Bahamas","1975","Medium","29.4765"
"Bahamas","1974","Medium","29.7583"
"Bahamas","1973","Medium","30.292"
"Bahamas","1972","Medium","31.1145"
"Bahamas","1971","Medium","31.9674"
"Bahamas","1970","Medium","32.8271"
"Bahamas","1969","Medium","33.8258"
"Bahamas","1968","Medium","35.1865"
"Bahamas","1967","Medium","36.7499"
"Bahamas","1966","Medium","38.014"
"Bahamas","1965","Medium","39.124"
"Bahamas","1964","Medium","40.2328"
"Bahamas","1963","Medium","41.3796"
"Bahamas","1962","Medium","42.4888"
"Bahamas","1961","Medium","43.6076"
"Bahamas","1960","Medium","44.724"
"Bahamas","1959","Medium","45.8357"
"Bahamas","1958","Medium","46.8797"
"Bahamas","1957","Medium","47.8762"
"Bahamas","1956","Medium","48.922"
"Bahamas","1955","Medium","50.0033"
"Bahamas","1954","Medium","51.0888"
"Bahamas","1953","Medium","52.1882"
"Bahamas","1952","Medium","53.2737"
"Bahamas","1951","Medium","54.3531"
"Bahamas","1950","Medium","55.4558"

