"Country or Area","Year(s)","Variant","Value"
"Bahamas","2100","Medium","402.81"
"Bahamas","2100","High","588.518"
"Bahamas","2100","Low","267.601"
"Bahamas","2100","Constant fertility","366.611"
"Bahamas","2100","Instant replacement","646.762"
"Bahamas","2100","Zero migration","292.623"
"Bahamas","2100","Constant mortality","350.384"
"Bahamas","2100","No change","315.697"
"Bahamas","2100","Momentum","450.113"
"Bahamas","2100","Instant replacement zero migration","506.964"
"Bahamas","2100","Median PI","402.81"
"Bahamas","2100","Upper 80 PI","498.955"
"Bahamas","2100","Lower 80 PI","310.724"
"Bahamas","2100","Upper 95 PI","555.326"
"Bahamas","2100","Lower 95 PI","259.354"
"Bahamas","2099","Medium","403.834"
"Bahamas","2099","High","585.872"
"Bahamas","2099","Low","270.533"
"Bahamas","2099","Constant fertility","368.558"
"Bahamas","2099","Instant replacement","643.697"
"Bahamas","2099","Zero migration","295.082"
"Bahamas","2099","Constant mortality","351.845"
"Bahamas","2099","No change","318.002"
"Bahamas","2099","Momentum","450.168"
"Bahamas","2099","Instant replacement zero migration","506.13"
"Bahamas","2099","Median PI","403.833"
"Bahamas","2099","Upper 80 PI","498.422"
"Bahamas","2099","Lower 80 PI","312.44"
"Bahamas","2099","Upper 95 PI","552.643"
"Bahamas","2099","Lower 95 PI","262.542"
"Bahamas","2098","Medium","404.896"
"Bahamas","2098","High","583.278"
"Bahamas","2098","Low","273.523"
"Bahamas","2098","Constant fertility","370.543"
"Bahamas","2098","Instant replacement","640.646"
"Bahamas","2098","Zero migration","297.575"
"Bahamas","2098","Constant mortality","353.358"
"Bahamas","2098","No change","320.353"
"Bahamas","2098","Momentum","450.209"
"Bahamas","2098","Instant replacement zero migration","505.296"
"Bahamas","2098","Median PI","404.896"
"Bahamas","2098","Upper 80 PI","498.377"
"Bahamas","2098","Lower 80 PI","314.82"
"Bahamas","2098","Upper 95 PI","551.123"
"Bahamas","2098","Lower 95 PI","265.651"
"Bahamas","2097","Medium","406.007"
"Bahamas","2097","High","580.737"
"Bahamas","2097","Low","276.572"
"Bahamas","2097","Constant fertility","372.556"
"Bahamas","2097","Instant replacement","637.616"
"Bahamas","2097","Zero migration","300.12"
"Bahamas","2097","Constant mortality","354.925"
"Bahamas","2097","No change","322.75"
"Bahamas","2097","Momentum","450.241"
"Bahamas","2097","Instant replacement zero migration","504.471"
"Bahamas","2097","Median PI","406.007"
"Bahamas","2097","Upper 80 PI","498.331"
"Bahamas","2097","Lower 80 PI","317.4"
"Bahamas","2097","Upper 95 PI","550.319"
"Bahamas","2097","Lower 95 PI","267.536"
"Bahamas","2096","Medium","407.153"
"Bahamas","2096","High","578.25"
"Bahamas","2096","Low","279.669"
"Bahamas","2096","Constant fertility","374.599"
"Bahamas","2096","Instant replacement","634.606"
"Bahamas","2096","Zero migration","302.706"
"Bahamas","2096","Constant mortality","356.543"
"Bahamas","2096","No change","325.19"
"Bahamas","2096","Momentum","450.274"
"Bahamas","2096","Instant replacement zero migration","503.667"
"Bahamas","2096","Median PI","407.153"
