"Country or Area","Year(s)","Variant","Value"
"Bahamas","2101","Medium",""
"Bahamas","2100","Medium","2.748"
"Bahamas","2099","Medium","2.7851"
"Bahamas","2098","Medium","2.8221"
"Bahamas","2097","Medium","2.8622"
"Bahamas","2096","Medium","2.9008"
"Bahamas","2095","Medium","2.9394"
"Bahamas","2094","Medium","2.9818"
"Bahamas","2093","Medium","3.0228"
"Bahamas","2092","Medium","3.0644"
"Bahamas","2091","Medium","3.1122"
"Bahamas","2090","Medium","3.1549"
"Bahamas","2089","Medium","3.1993"
"Bahamas","2088","Medium","3.2454"
"Bahamas","2087","Medium","3.2947"
"Bahamas","2086","Medium","3.3416"
"Bahamas","2085","Medium","3.3881"
"Bahamas","2084","Medium","3.4379"
"Bahamas","2083","Medium","3.4874"
"Bahamas","2082","Medium","3.5415"
"Bahamas","2081","Medium","3.5898"
"Bahamas","2080","Medium","3.6513"
"Bahamas","2079","Medium","3.7066"
"Bahamas","2078","Medium","3.7686"
"Bahamas","2077","Medium","3.8352"
"Bahamas","2076","Medium","3.9092"
"Bahamas","2075","Medium","3.9765"
"Bahamas","2074","Medium","4.0539"
"Bahamas","2073","Medium","4.1251"
"Bahamas","2072","Medium","4.205"
"Bahamas","2071","Medium","4.2806"
"Bahamas","2070","Medium","4.3598"
"Bahamas","2069","Medium","4.4398"
"Bahamas","2068","Medium","4.5206"
"Bahamas","2067","Medium","4.6082"
"Bahamas","2066","Medium","4.6954"
"Bahamas","2065","Medium","4.7822"
"Bahamas","2064","Medium","4.8738"
"Bahamas","2063","Medium","4.9725"
"Bahamas","2062","Medium","5.0741"
"Bahamas","2061","Medium","5.1736"
"Bahamas","2060","Medium","5.2734"
"Bahamas","2059","Medium","5.3767"
"Bahamas","2058","Medium","5.4855"
"Bahamas","2057","Medium","5.5881"
"Bahamas","2056","Medium","5.6912"
"Bahamas","2055","Medium","5.802"
"Bahamas","2054","Medium","5.9118"
"Bahamas","2053","Medium","6.0229"
"Bahamas","2052","Medium","6.1277"
"Bahamas","2051","Medium","6.2417"
"Bahamas","2050","Medium","6.3563"
"Bahamas","2049","Medium","6.4717"
"Bahamas","2048","Medium","6.6251"
"Bahamas","2047","Medium","6.7756"
"Bahamas","2046","Medium","6.939"
"Bahamas","2045","Medium","7.0916"
"Bahamas","2044","Medium","7.2553"
"Bahamas","2043","Medium","7.4088"
"Bahamas","2042","Medium","7.5724"
"Bahamas","2041","Medium","7.7347"
"Bahamas","2040","Medium","7.9133"
"Bahamas","2039","Medium","8.0742"
"Bahamas","2038","Medium","8.2499"
"Bahamas","2037","Medium","8.44"
"Bahamas","2036","Medium","8.6507"
"Bahamas","2035","Medium","8.8471"
"Bahamas","2034","Medium","9.0599"
"Bahamas","2033","Medium","9.2829"
"Bahamas","2032","Medium","9.4996"
"Bahamas","2031","Medium","9.7288"
"Bahamas","2030","Medium","9.9635"
"Bahamas","2029","Medium","10.1989"
"Bahamas","2028","Medium","10.4356"
"Bahamas","2027","Medium","10.6583"
"Bahamas","2026","Medium","10.9028"
"Bahamas","2025","Medium","11.1419"
"Bahamas","2024","Medium","11.3932"
"Bahamas","2023","Medium","11.6445"
"Bahamas","2022","Medium","11.9007"
"Bahamas","2021","Medium","11.8719"
"Bahamas","2020","Medium","12.2531"
"Bahamas","2019","Medium","23.4918"
"Bahamas","2018","Medium","12.9674"
"Bahamas","2017","Medium","13.3167"
"Bahamas","2016","Medium","13.65"
"Bahamas","2015","Medium","15.0348"
"Bahamas","2014","Medium","14.2673"
"Bahamas","2013","Medium","14.5627"
"Bahamas","2012","Medium","14.9064"
"Bahamas","2011","Medium","15.1865"
"Bahamas","2010","Medium","15.5306"
"Bahamas","2009","Medium","15.8675"
"Bahamas","2008","Medium","16.196"
"Bahamas","2007","Medium","16.5213"
"Bahamas","2006","Medium","16.7048"
"Bahamas","2005","Medium","16.8474"
"Bahamas","2004","Medium","17.2508"
"Bahamas","2003","Medium","16.6919"
"Bahamas","2002","Medium","16.5099"
"Bahamas","2001","Medium","16.3374"
"Bahamas","2000","Medium","16.2346"
"Bahamas","1999","Medium","16.3199"
"Bahamas","1998","Medium","16.5285"
"Bahamas","1997","Medium","16.9977"
"Bahamas","1996","Medium","17.6501"
"Bahamas","1995","Medium","18.4437"
"Bahamas","1994","Medium","19.3367"
"Bahamas","1993","Medium","20.3054"
"Bahamas","1992","Medium","21.497"
"Bahamas","1991","Medium","22.3573"
"Bahamas","1990","Medium","23.4443"
"Bahamas","1989","Medium","24.5372"
"Bahamas","1988","Medium","25.585"
"Bahamas","1987","Medium","26.5329"
"Bahamas","1986","Medium","27.2746"
"Bahamas","1985","Medium","27.7735"
"Bahamas","1984","Medium","28.3718"
"Bahamas","1983","Medium","29.0741"
"Bahamas","1982","Medium","29.8639"
"Bahamas","1981","Medium","30.7305"
"Bahamas","1980","Medium","31.5793"
"Bahamas","1979","Medium","32.5053"
"Bahamas","1978","Medium","33.342"
"Bahamas","1977","Medium","34.0734"
"Bahamas","1976","Medium","34.7631"
"Bahamas","1975","Medium","35.4728"
"Bahamas","1974","Medium","35.8351"
"Bahamas","1973","Medium","36.5225"
"Bahamas","1972","Medium","37.5829"
"Bahamas","1971","Medium","38.6879"
"Bahamas","1970","Medium","39.8045"
"Bahamas","1969","Medium","41.1102"
"Bahamas","1968","Medium","42.8932"
"Bahamas","1967","Medium","44.9488"
"Bahamas","1966","Medium","46.8157"
"Bahamas","1965","Medium","48.089"
"Bahamas","1964","Medium","49.5667"
"Bahamas","1963","Medium","51.1017"
"Bahamas","1962","Medium","52.5923"
"Bahamas","1961","Medium","54.1012"
"Bahamas","1960","Medium","55.6134"
"Bahamas","1959","Medium","57.1246"
"Bahamas","1958","Medium","58.5483"
"Bahamas","1957","Medium","59.9114"
"Bahamas","1956","Medium","61.3461"
"Bahamas","1955","Medium","62.8336"
"Bahamas","1954","Medium","64.332"
"Bahamas","1953","Medium","65.8551"
"Bahamas","1952","Medium","67.3646"
"Bahamas","1951","Medium","68.8726"
"Bahamas","1950","Medium","70.4193"

